Wavelength (nm),Point 1,Point 2,Point 3,Point 4,Point 5,Point 6,Point 7,Point 8,Point 9,Point 10,Point 11,Point 12,Point 13,Point 14,Point 15,Point 16,Point 17,Point 18,Point 19,Point 20,Point 21,Point 22,Point 23,Point 24,Point 25,Point 26,Point 27,Point 28,Point 29,Point 30,Point 31,Point 32,Point 33,Point 34,Point 35,Point 36,Point 37,Point 38,Point 39,Point 40,Point 41,Point 42,Point 43,Point 44,Point 45,Point 46,Point 47,Point 48,Point 49,Point 50,Point 51,Point 52,Point 53,Point 54,Point 55,Point 56,Point 57,Point 58,Point 59,Point 60,Point 61,Point 62,Point 63,Point 64,Point 65,Point 66,Point 67,Point 68,Point 69,Point 70,Point 71,Point 72,Point 73,Point 74,Point 75,Point 76,Point 77,Point 78,Point 79,Point 80,Point 81,Point 82,Point 83,Point 84,Point 85,Point 86,Point 87,Point 88,Point 89,Point 90,Point 91,Point 92,Point 93,Point 94,Point 95,Point 96,Point 97,Point 98,Point 99,Point 100,Point 101,Point 102,Point 103,Point 104,Point 105,Point 106,Point 107,Point 108,Point 109,Point 110,Point 111,Point 112,Point 113,Point 114,Point 115,Point 116,Point 117,Point 118,Point 119,Point 120,Point 121,Point 122,Point 123,Point 124,Point 125,Point 126,Point 127,Point 128
381.00558,0.03144027,0.023318434,0.03271586,0.025534956,0.032142725,0.027758611,0.028611662,0.038173653,0.03716792,0.024656663,0.03327889,0.032122694,0.026840199,0.031405184,0.038930673,0.050347224,0.03966447,0.042261437,0.049312223,0.050200474,0.03246171,0.029116374,0.031189049,0.016630499,0.017132249,0.029729405,0.016892595,0.031947035,0.02234109,0.02369865,0.018872479,0.028654357,0.019771148,0.02466532,0.026609102,0.02201334,0.03208403,0.023692667,0.022836177,0.028992696,0.03529717,0.031211428,0.03707991,0.035471693,0.026318971,0.036267277,0.027913237,0.031977735,0.036806215,0.030315053,0.023177488,0.030566782,0.020130511,0.037301105,0.024560208,0.03267903,0.019021448,0.027943045,0.03198413,0.015276966,0.026629198,0.028355675,0.0140628945,0.01707984,0.015820276,0.024676321,0.020484889,0.016330617,0.01601291,0.016621716,0.02318079,0.016236743,0.01955895,0.017526928,0.025045138,0.020461299,0.020311724,0.020736393,0.023787292,0.021972543,0.021754472,0.02553592,0.02553592,0.02417565,0.024819426,0.025639048,0.02173455,0.02173455,0.019817537,0.017482506,0.021416888,0.020580111,0.025197906,0.025528068,0.015315241,0.026315572,0.019875344,0.020737043,0.018609485,0.031149872,0.022141777,0.025916234,0.03299983,0.014330392,0.022685884,0.015648656,0.029436152,0.023217367,0.028634077,0.016390258,0.016910342,0.02450949,0.023544308,0.018346913,0.020405719,0.019998563,0.01818128,0.022546064,0.018374937,0.017085522,0.016736222,0.01893342,0.015295287,0.01874724,0.02997241,0.026715595,0.030318998,0.026836926
388.4092,0.033641007,0.024418222,0.03343556,0.027165862,0.032411326,0.028327823,0.030329727,0.040123194,0.03869851,0.026074652,0.0348453,0.033684492,0.028528249,0.033310033,0.04068584,0.05234853,0.041422796,0.04616105,0.053637877,0.05633639,0.035316426,0.03152712,0.03415865,0.017587435,0.01773346,0.032696836,0.01793417,0.03410022,0.026602464,0.026781429,0.020086072,0.030502982,0.020964347,0.025037156,0.027099557,0.022450747,0.032832287,0.023982372,0.02339372,0.029628627,0.040231865,0.036541816,0.039854735,0.037844863,0.027292479,0.038898487,0.028526178,0.033979602,0.039423637,0.031690292,0.024053894,0.03195641,0.021088991,0.039887216,0.025476377,0.03495028,0.0204224,0.029741831,0.034190774,0.021532897,0.02775606,0.029646067,0.014765697,0.0179009,0.01667458,0.025828416,0.021795262,0.017024359,0.017000914,0.017468201,0.024073435,0.017163847,0.025346609,0.025069244,0.027023401,0.026017157,0.021745425,0.021081805,0.024625357,0.024738893,0.022409206,0.027352884,0.027352884,0.02529083,0.025767867,0.026725382,0.02245163,0.02245163,0.021832408,0.017581275,0.021487638,0.02063128,0.025484845,0.026708929,0.021723885,0.027746664,0.020133687,0.020961886,0.018680457,0.033024963,0.02340219,0.026205419,0.035155855,0.015088483,0.02294217,0.016078152,0.02920851,0.023586072,0.028216925,0.016642783,0.017274812,0.024959372,0.024124058,0.020061744,0.020327143,0.019812701,0.018104434,0.022623494,0.018166978,0.017186841,0.016849002,0.019007623,0.015282723,0.019124968,0.030727036,0.027753446,0.030947313,0.027733006
395.81583,0.035845276,0.025522854,0.034168933,0.028807452,0.032690138,0.028897198,0.03205542,0.042077173,0.040228445,0.02749273,0.03639868,0.035260808,0.030217133,0.035216056,0.042450245,0.056309085,0.043185297,0.0509555,0.05701668,0.05853556,0.03817704,0.033939816,0.037122287,0.018539809,0.01833482,0.035665732,0.018981136,0.036247212,0.031381655,0.030906426,0.02129946,0.032355487,0.022158572,0.025408676,0.027590401,0.022895096,0.033582248,0.024267264,0.023947755,0.03027588,0.04537207,0.04051703,0.042635124,0.040223826,0.028270194,0.04154416,0.029158555,0.03598422,0.042033866,0.03306676,0.024916196,0.033341296,0.022050206,0.042478893,0.02639537,0.03723006,0.021830816,0.031541217,0.036408763,0.027774736,0.028891984,0.030939633,0.015472915,0.018729154,0.017542705,0.026986763,0.023121111,0.01771737,0.017991377,0.018325534,0.024976464,0.018092152,0.031021148,0.028702311,0.029007072,0.033320334,0.023180144,0.02143038,0.025462613,0.030307872,0.02306797,0.029182602,0.029182602,0.026415039,0.026726885,0.027818661,0.0231683,0.0231683,0.023853334,0.017678417,0.021560114,0.020682676,0.02578152,0.027898876,0.027274232,0.029187983,0.020399647,0.021210495,0.018756509,0.034909476,0.024673263,0.026492499,0.037317675,0.015852835,0.02319726,0.01652285,0.028980331,0.023952372,0.027803762,0.016892698,0.017639108,0.025407532,0.024699977,0.02178519,0.020254025,0.019620588,0.01803159,0.02270453,0.017968979,0.017285762,0.016963603,0.019084424,0.015284726,0.01950088,0.031479254,0.028802764,0.031583376,0.028632605
403.2254,0.038057204,0.026633127,0.034912582,0.030451316,0.03297045,0.029491205,0.033792056,0.04405646,0.041777268,0.028923808,0.03797845,0.036850832,0.03191382,0.037123837,0.04422907,0.06307957,0.044958763,0.058548853,0.06371929,0.06374332,0.041041415,0.036355983,0.040112495,0.019501973,0.018945992,0.038640298,0.0200298,0.038412523,0.037703533,0.03732563,0.02252068,0.03421257,0.023359565,0.025800075,0.02809592,0.02335695,0.03433866,0.024558155,0.024516888,0.030919582,0.050713822,0.047000483,0.0454247,0.042608067,0.029257828,0.044190522,0.029789073,0.037996463,0.044658083,0.03445338,0.025796197,0.034740232,0.02302343,0.045078825,0.027322125,0.039507426,0.02323591,0.033359285,0.038634576,0.033331092,0.03003023,0.03224112,0.016185256,0.019562507,0.018417256,0.02814869,0.024447862,0.018432142,0.018990934,0.019185744,0.025877083,0.019021302,0.037728507,0.03714054,0.031004127,0.04042795,0.024613734,0.021785483,0.026304299,0.03440527,0.023730367,0.03100205,0.03100205,0.027539894,0.027681125,0.028911691,0.02389586,0.02389586,0.025874864,0.017783187,0.021630606,0.020735584,0.026075976,0.02908603,0.03313694,0.030622886,0.020665945,0.02144823,0.01883324,0.03678455,0.025944637,0.026791394,0.03948426,0.016612312,0.02345508,0.016965572,0.028751735,0.024328157,0.027393378,0.017157206,0.018015943,0.025868407,0.025286093,0.023500042,0.020180576,0.019432502,0.017955981,0.02279027,0.017775822,0.017391756,0.017079277,0.019156432,0.015280915,0.019885141,0.03224723,0.02985488,0.032214556,0.029528381
410.638,0.040531695,0.02811002,0.036178462,0.03239837,0.033882305,0.030622693,0.03587765,0.04640922,0.043746326,0.030604357,0.039993618,0.038854986,0.033868283,0.039285235,0.046473224,0.06741115,0.047211844,0.063603476,0.06921128,0.068775825,0.04432802,0.0391375,0.043539707,0.020761399,0.019969242,0.04206727,0.021414956,0.040857963,0.04308705,0.042630438,0.024085518,0.036392752,0.024738599,0.026658412,0.029030774,0.024323713,0.035600245,0.025389059,0.025596008,0.032032732,0.05668168,0.0527746,0.048596025,0.045439553,0.030601088,0.047275506,0.030945651,0.040416233,0.047672797,0.03624529,0.027185565,0.036648273,0.02444492,0.0480663,0.028655758,0.042164728,0.024773851,0.035448063,0.041249335,0.039598286,0.031557698,0.03393731,0.017268142,0.020781193,0.019707706,0.0297335,0.026161894,0.019559678,0.020412492,0.020443574,0.027229477,0.020062407,0.04550484,0.044109095,0.03329197,0.048160788,0.026308874,0.02259328,0.027550785,0.041381102,0.024857251,0.033232618,0.033232618,0.029086811,0.02904279,0.03046551,0.024982017,0.024982017,0.028070284,0.018486712,0.02221916,0.021304835,0.02697324,0.030597122,0.04045132,0.03243398,0.021409033,0.022200916,0.019415762,0.03912611,0.02759014,0.027594587,0.0420005,0.017605886,0.02416694,0.017780254,0.02922538,0.025195278,0.027633082,0.01798855,0.01892167,0.026858227,0.026271997,0.025446305,0.02071682,0.019831726,0.01840322,0.023384629,0.01813866,0.018064026,0.017701183,0.019756196,0.015891459,0.02081574,0.033797614,0.03155193,0.033660393,0.031093104
418.0536,0.043335788,0.029952552,0.03783405,0.03465101,0.035260595,0.032113884,0.038297337,0.049198516,0.046136122,0.032513544,0.04239575,0.041223366,0.03608748,0.041722972,0.04921679,0.072358534,0.049952652,0.06939259,0.07427498,0.07343453,0.04806396,0.04234738,0.047502283,0.02234796,0.021378547,0.046059877,0.023117974,0.043636385,0.047180835,0.04808468,0.02595336,0.038900603,0.026268838,0.027944691,0.030375876,0.025677515,0.037355315,0.026626354,0.027023604,0.03362246,0.062008675,0.058473185,0.052233752,0.04876794,0.032295335,0.050819747,0.032515507,0.043409962,0.051118404,0.038461708,0.02895806,0.039153546,0.02617021,0.051466666,0.03040273,0.045294695,0.026525427,0.037812483,0.044284105,0.045922376,0.033480912,0.03600668,0.018669885,0.022289937,0.021272551,0.031691063,0.028202219,0.020966727,0.022222571,0.021927575,0.02896216,0.021274026,0.05254467,0.0506757,0.03588665,0.053692535,0.02830843,0.023854574,0.02922162,0.047950335,0.02642598,0.03585843,0.03585843,0.031021252,0.030786641,0.03242249,0.026439102,0.026439102,0.030514246,0.019749675,0.023296684,0.022365108,0.028413512,0.032442737,0.04665706,0.03471412,0.022603855,0.023419932,0.020460656,0.041869644,0.02966879,0.028882239,0.0448541,0.01885309,0.02529209,0.018952208,0.030261224,0.026494302,0.028441235,0.01929375,0.020316176,0.028341657,0.027651,0.027657831,0.021761494,0.020723874,0.019292848,0.02445021,0.019003583,0.019197633,0.018731771,0.020834746,0.016968135,0.022228032,0.036004145,0.033833697,0.035719223,0.0332219
425.47214,0.04637599,0.032080717,0.039747212,0.03715473,0.036941808,0.033851463,0.040992323,0.0522447,0.048786744,0.034574475,0.04499026,0.043786626,0.038476735,0.044325557,0.05229905,0.0758248,0.053017497,0.074723534,0.07736268,0.07649634,0.052141752,0.045869906,0.05188414,0.024187349,0.023116982,0.05050039,0.025120163,0.046588372,0.051290896,0.05215708,0.028086256,0.041612785,0.027863728,0.029579941,0.032039717,0.027294608,0.039515443,0.02812377,0.028621117,0.03556682,0.06688979,0.06309343,0.056185734,0.052424416,0.034235287,0.054697424,0.03441306,0.046849545,0.05481768,0.040942784,0.031051632,0.04209308,0.028132068,0.055143252,0.032420028,0.048810113,0.028401643,0.04034158,0.04764301,0.051017534,0.035702787,0.038361963,0.020251503,0.024039568,0.023010228,0.03399245,0.030479908,0.022593264,0.0243198,0.023570636,0.031045226,0.022616556,0.05757233,0.05629678,0.038712986,0.05958646,0.030495679,0.025435723,0.031151585,0.052372873,0.02829131,0.038729895,0.038729895,0.033208378,0.032797176,0.034633826,0.028111909,0.028111909,0.03306262,0.021416925,0.024721853,0.023783099,0.03025361,0.03450283,0.05080143,0.037342824,0.024113217,0.02496845,0.021835305,0.04489114,0.03204464,0.030511461,0.0479326,0.020270577,0.026735768,0.020390868,0.031717062,0.02811094,0.029677851,0.020979071,0.022077689,0.030190656,0.029293254,0.030033037,0.023178311,0.021990178,0.020518066,0.025827501,0.020222917,0.020658331,0.02005221,0.022262245,0.01837297,0.023953976,0.038643718,0.036513228,0.038201597,0.03572408
432.8927,0.04951607,0.03428435,0.041610293,0.03974096,0.03857534,0.035489388,0.043742713,0.05538307,0.051511995,0.036596168,0.047613885,0.046336118,0.04085692,0.046934504,0.055570155,0.07731984,0.056223992,0.07599338,0.07850056,0.07833248,0.056324735,0.04955134,0.05649697,0.026117729,0.02494335,0.055198308,0.027189616,0.04958143,0.052637264,0.053179458,0.030242227,0.044343222,0.029378021,0.031251725,0.033793624,0.028880876,0.041826732,0.029576043,0.030136973,0.037645455,0.06879249,0.06471419,0.060317177,0.056251444,0.036216587,0.05875332,0.036339022,0.05069801,0.058656275,0.043522317,0.033140425,0.045344815,0.03001595,0.058950253,0.034544993,0.052562438,0.030337341,0.042865507,0.05115418,0.05184526,0.038024012,0.040798847,0.021797644,0.025771946,0.024663238,0.036364567,0.03275447,0.024139144,0.0264769,0.025090352,0.033179503,0.024037693,0.060839407,0.059277583,0.04157788,0.06409526,0.03275321,0.027171683,0.03319077,0.054878578,0.030260663,0.041689917,0.041689917,0.03545488,0.034920502,0.036899175,0.029834565,0.029834565,0.035669703,0.023283586,0.026316177,0.025370615,0.032243416,0.03663792,0.053701572,0.04019635,0.025750382,0.026618807,0.02333318,0.047971547,0.03460439,0.03228198,0.051073793,0.02175574,0.028297722,0.021941783,0.033269856,0.029817672,0.03107372,0.02277986,0.024001604,0.032195747,0.031061053,0.03248235,0.024724435,0.023375874,0.021858385,0.027328074,0.021589527,0.022218544,0.021399284,0.023826769,0.01983366,0.025766356,0.041405898,0.03934408,0.04076799,0.03834854
440.31726,0.052390035,0.036262378,0.0431721,0.042092294,0.039921638,0.03684028,0.04622711,0.058162853,0.053886276,0.038430635,0.049860008,0.048525628,0.042996116,0.049264323,0.0584682,0.08051608,0.059069045,0.079159796,0.08109204,0.080037855,0.06013897,0.05293779,0.060764335,0.02787085,0.026571495,0.059584297,0.029066684,0.05226235,0.053176004,0.055175588,0.03216822,0.046771973,0.030724652,0.032699134,0.035318695,0.030228235,0.04386045,0.030790826,0.03140582,0.03947526,0.07195559,0.06859799,0.06407197,0.059695847,0.037930407,0.062415883,0.037991747,0.05429597,0.062118415,0.04579777,0.034986436,0.048309162,0.03167564,0.062373072,0.03643347,0.056027215,0.032121237,0.0450815,0.054349165,0.054196086,0.040087175,0.042940848,0.023143088,0.027300963,0.026062872,0.038495127,0.03476697,0.025462264,0.02841809,0.026385227,0.035074722,0.02535833,0.066134945,0.06326136,0.044194017,0.067847006,0.034807045,0.028703844,0.03498268,0.05697179,0.031967226,0.044347987,0.044347987,0.037403665,0.036795966,0.03886521,0.03133453,0.03133453,0.038054634,0.02490241,0.027701706,0.026758548,0.03395319,0.038539443,0.0562743,0.042840317,0.027160853,0.02803706,0.024634533,0.05069835,0.036963418,0.03380295,0.053877816,0.023092827,0.029645124,0.02330227,0.034515012,0.031264096,0.03221315,0.02434958,0.025697043,0.03396291,0.03261805,0.03474584,0.026030451,0.024552086,0.023009375,0.028616399,0.02275358,0.023548836,0.022550369,0.02519968,0.02104498,0.02731933,0.043757875,0.041837122,0.04290762,0.040601343
447.7428,0.055135734,0.038165145,0.044658504,0.044338677,0.041216712,0.038119644,0.048579343,0.06083259,0.056176484,0.040156674,0.051989406,0.050614167,0.04501223,0.051475164,0.061258078,0.08281775,0.06177914,0.08261098,0.08265975,0.08293924,0.06373574,0.056167386,0.06479299,0.0295884,0.028174765,0.06376143,0.030879827,0.05482806,0.056506176,0.057962608,0.034019772,0.04908992,0.032019958,0.034134295,0.036829572,0.03153873,0.045819197,0.031961404,0.032607425,0.041274678,0.07427456,0.07016335,0.06763747,0.06295223,0.03961245,0.06588176,0.03957537,0.057747886,0.065394536,0.04800537,0.036693152,0.051190645,0.033246964,0.06559364,0.03828202,0.05933441,0.033815335,0.04719173,0.057359595,0.057323676,0.04209145,0.04498557,0.024480358,0.028759217,0.027392864,0.040549725,0.036665875,0.02673441,0.03031849,0.027603298,0.03692662,0.026607325,0.0708934,0.06779594,0.0467011,0.072732165,0.036816813,0.030239286,0.03677459,0.060793232,0.033680357,0.046904877,0.046904877,0.039327946,0.03864875,0.04078006,0.03284567,0.03284567,0.040354587,0.026553962,0.029113343,0.02818217,0.035655174,0.04039172,0.059671838,0.04540879,0.028605582,0.029497845,0.0259662,0.053276684,0.03926948,0.03533876,0.056513615,0.024393981,0.030994661,0.024655621,0.03575684,0.032697685,0.03339607,0.025904952,0.027389146,0.035714142,0.034146097,0.036934286,0.027370177,0.02576866,0.024194537,0.02993446,0.02396711,0.024885036,0.023710627,0.026593257,0.022274606,0.028883087,0.046162512,0.04434002,0.045074243,0.04290153
