Wavelength (nm),Point 1,Point 2,Point 3,Point 4,Point 5,Point 6,Point 7,Point 8,Point 9,Point 10,Point 11,Point 12,Point 13,Point 14,Point 15,Point 16,Point 17,Point 18,Point 19,Point 20,Point 21,Point 22,Point 23,Point 24,Point 25,Point 26,Point 27,Point 28,Point 29,Point 30,Point 31,Point 32,Point 33,Point 34,Point 35,Point 36,Point 37,Point 38,Point 39,Point 40,Point 41,Point 42,Point 43,Point 44,Point 45,Point 46,Point 47,Point 48,Point 49,Point 50,Point 51,Point 52,Point 53,Point 54,Point 55,Point 56,Point 57,Point 58,Point 59,Point 60,Point 61,Point 62,Point 63,Point 64,Point 65,Point 66,Point 67,Point 68,Point 69,Point 70,Point 71,Point 72,Point 73,Point 74,Point 75,Point 76,Point 77,Point 78,Point 79,Point 80,Point 81,Point 82,Point 83,Point 84,Point 85,Point 86,Point 87,Point 88,Point 89,Point 90,Point 91,Point 92,Point 93,Point 94,Point 95,Point 96,Point 97,Point 98,Point 99,Point 100,Point 101,Point 102,Point 103,Point 104,Point 105,Point 106,Point 107,Point 108,Point 109,Point 110,Point 111,Point 112,Point 113,Point 114,Point 115,Point 116,Point 117,Point 118,Point 119,Point 120,Point 121,Point 122,Point 123,Point 124,Point 125,Point 126,Point 127,Point 128,Point 129,Point 130,Point 131,Point 132,Point 133,Point 134,Point 135,Point 136,Point 137,Point 138,Point 139,Point 140,Point 141,Point 142,Point 143,Point 144,Point 145,Point 146,Point 147,Point 148,Point 149,Point 150,Point 151,Point 152,Point 153,Point 154,Point 155,Point 156,Point 157,Point 158,Point 159,Point 160,Point 161,Point 162,Point 163,Point 164,Point 165,Point 166,Point 167,Point 168,Point 169,Point 170,Point 171,Point 172,Point 173,Point 174,Point 175,Point 176
381.00558,0.032768834,0.025039885,0.036878202,0.028572949,0.032178726,0.024062296,0.028350659,0.0341336,0.028733855,0.03290152,0.034888685,0.021737609,0.034459975,0.025344148,0.030086843,0.025959268,0.0293625,0.03733717,0.030368678,0.024324939,0.03091114,0.03222615,0.037180014,0.032932013,0.038681302,0.035399914,0.02722185,0.032192323,0.035086613,0.036258467,0.03226483,0.0368997,0.030915577,0.03300184,0.0296848,0.03714577,0.032885805,0.03770016,0.042374343,0.03963399,0.034854513,0.038580853,0.04711487,0.044550292,0.029524343,0.027360585,0.031818077,0.037648372,0.037027206,0.031209951,0.03777025,0.030123414,0.0363999,0.033995636,0.020935306,0.041715514,0.03388238,0.025423689,0.027818521,0.024340762,0.026520725,0.02222519,0.034313135,0.03043412,0.027649984,0.028683657,0.037046693,0.03644033,0.027737223,0.032840125,0.037403602,0.03074296,0.02577223,0.03315472,0.026339551,0.026003145,0.033430297,0.034866065,0.027845299,0.033927094,0.033408623,0.041551925,0.03311393,0.034298062,0.04201494,0.028933216,0.030771893,0.032406177,0.036153007,0.031826593,0.030985773,0.044399936,0.03413686,0.035107307,0.03694678,0.034252092,0.033018194,0.034553777,0.033830263,0.033390712,0.036009815,0.03446626,0.037442558,0.034190506,0.0385429,0.03305334,0.03289722,0.033040874,0.027752565,0.033723254,0.03064634,0.02940557,0.032225356,0.02885346,0.033153933,0.032029133,0.035032287,0.031479444,0.036741313,0.03536835,0.034537014,0.033092625,0.030762771,0.029688185,0.032510664,0.03746338,0.034991518,0.02642417,0.03762444,0.019938067,0.043525204,0.036584146,0.03581586,0.04099515,0.03973497,0.038463622,0.032595728,0.04289324,0.032822806,0.033798583,0.027482418,0.03466194,0.033368252,0.03286361,0.027119767,0.032310657,0.03460152,0.031904772,0.033552077,0.0391542,0.037830517,0.031060359,0.036230635,0.033525478,0.037846897,0.036164835,0.030485217,0.023821462,0.025821634,0.034487914,0.0385797,0.03128668,0.031307288,0.03225944,0.033623893,0.02683832,0.027979309,0.04064361,0.031866156,0.022466157,0.03739812,0.029566552,0.032193165,0.027975729,0.035353776,0.036410548
388.4092,0.034301557,0.030077485,0.040609997,0.030091373,0.038302943,0.02782103,0.031781074,0.036226407,0.03256579,0.037595954,0.03922175,0.023174094,0.036597516,0.026229542,0.03366334,0.026974153,0.0349879,0.039653376,0.033519972,0.029155621,0.034483343,0.034296755,0.03914052,0.034626257,0.0406467,0.037615277,0.028530855,0.03727151,0.036842536,0.03812165,0.034010395,0.038707968,0.033764087,0.03661139,0.030470816,0.039029844,0.034637854,0.039699186,0.04454301,0.04149519,0.036401432,0.040103264,0.052547656,0.05127398,0.031183101,0.029219493,0.033629872,0.039594155,0.042207345,0.03285972,0.03965492,0.031813994,0.038654312,0.035678376,0.02440104,0.043392252,0.03602881,0.026376322,0.030879697,0.027788537,0.030638456,0.026797064,0.037745275,0.03269681,0.0301792,0.0335528,0.039050225,0.038414996,0.02915627,0.0387814,0.039251328,0.03603309,0.028231595,0.03550795,0.02715195,0.026843488,0.035049208,0.039700273,0.028166,0.035559587,0.03501296,0.047780268,0.034633603,0.035933208,0.04797451,0.031398386,0.036599103,0.03977218,0.0393757,0.03388078,0.03323445,0.049640343,0.038147658,0.036492,0.03846048,0.03821614,0.035584,0.037189573,0.036770165,0.03867767,0.038086098,0.036099184,0.039214343,0.035775997,0.040404417,0.036463033,0.03614442,0.03590213,0.031851344,0.03749986,0.03292665,0.033078283,0.033276986,0.034718703,0.0342526,0.034396637,0.03919593,0.03555772,0.039421435,0.03782374,0.036220245,0.036994774,0.03186732,0.03219606,0.034016386,0.039284144,0.03891829,0.027863175,0.040918346,0.020955494,0.048136536,0.04142765,0.040270887,0.04523996,0.043602474,0.04096878,0.0364252,0.046512417,0.0336621,0.03478411,0.030161316,0.036324687,0.034988385,0.03442781,0.027913755,0.033884466,0.03621943,0.033212148,0.03600912,0.042998757,0.039364416,0.03217476,0.03776624,0.034854833,0.039231323,0.03759069,0.031731796,0.026141573,0.030096963,0.03735057,0.040342227,0.032855514,0.03311153,0.03338501,0.035670705,0.027202493,0.03132949,0.04422566,0.03350539,0.023189282,0.04041333,0.031060211,0.03309561,0.028479572,0.036549065,0.03760115
395.81583,0.035850827,0.035522558,0.046107933,0.031609185,0.042450827,0.03363131,0.03677236,0.038340036,0.038035557,0.04342168,0.04531686,0.024613341,0.038747437,0.027122075,0.038639743,0.02799323,0.04013624,0.04197983,0.039250087,0.03413832,0.03954694,0.036373254,0.041127745,0.036325935,0.042628545,0.039857455,0.029848218,0.042119905,0.038592868,0.03999369,0.035775557,0.040520366,0.038983185,0.040926978,0.031266004,0.04091975,0.036393162,0.041715104,0.046726845,0.04335613,0.037951868,0.0416465,0.05954146,0.057716824,0.032863814,0.035547867,0.035452157,0.041537363,0.0466079,0.034513287,0.041551385,0.0335187,0.043585546,0.037372623,0.028216446,0.04507522,0.038181596,0.027336044,0.035910036,0.033338193,0.035273116,0.03174059,0.04253929,0.034964547,0.034567423,0.036285084,0.041072033,0.040390685,0.030571839,0.043302998,0.04112175,0.040651616,0.03365136,0.04065757,0.027965631,0.027694087,0.036662336,0.04685186,0.033424906,0.037201554,0.036634542,0.054694645,0.03616292,0.037565798,0.052158266,0.03569875,0.0437142,0.045963712,0.04449797,0.0359325,0.038946763,0.05726646,0.04098333,0.037891828,0.039978467,0.04160545,0.040812116,0.043337062,0.041053466,0.04195819,0.042500682,0.037746105,0.043065183,0.037380446,0.042265594,0.04076925,0.040518392,0.03963373,0.035577055,0.042368736,0.037640166,0.03693159,0.034337312,0.039314996,0.035353936,0.040907815,0.043266866,0.041428752,0.045316994,0.043301933,0.037902884,0.04116085,0.03297938,0.03707531,0.035528313,0.041110028,0.04288455,0.029307306,0.043996867,0.021980636,0.053785887,0.04749205,0.045789946,0.04942666,0.04898908,0.043485,0.041319627,0.0516161,0.03452055,0.035786927,0.03562135,0.03800267,0.036609508,0.03600864,0.028707799,0.03545195,0.037848182,0.03452777,0.039906427,0.046455994,0.040906653,0.03329107,0.039310344,0.036199976,0.043826196,0.043375142,0.0329941,0.030739322,0.031607784,0.041764777,0.042106036,0.03442638,0.0349309,0.034517214,0.037742388,0.02756693,0.036470037,0.04926424,0.039032616,0.023922626,0.04401135,0.032570478,0.034018293,0.02899106,0.03775689,0.038807336
403.2254,0.03738701,0.040874183,0.050850835,0.0331318,0.04619402,0.03716253,0.03972377,0.04044335,0.04323252,0.047793407,0.050097033,0.02605385,0.040896535,0.028014429,0.042951472,0.029017054,0.044642456,0.044312134,0.04319867,0.037230585,0.042654227,0.038458824,0.04310416,0.038033005,0.044601776,0.04209732,0.031156508,0.045887712,0.0403489,0.04185988,0.037531663,0.04232208,0.04110734,0.043762982,0.032062836,0.042808797,0.038154602,0.043728784,0.048907127,0.045214977,0.0395049,0.043181617,0.06538054,0.06365752,0.034525428,0.04004315,0.037273277,0.043481536,0.049112223,0.036169685,0.04344696,0.035221487,0.047307488,0.039070904,0.031180136,0.04675518,0.040344164,0.028292308,0.04071733,0.038317267,0.037924923,0.035775896,0.046165146,0.037232984,0.03809715,0.03942997,0.043081455,0.042382795,0.031992707,0.047833692,0.042984,0.044445693,0.03714857,0.04499436,0.028791988,0.028547684,0.038294304,0.051050704,0.03817223,0.038840268,0.038252454,0.058372036,0.037688848,0.03919982,0.05661862,0.039686903,0.04786445,0.050487842,0.048890516,0.037977893,0.042440604,0.061677154,0.044618197,0.03929156,0.041497033,0.045423668,0.045822892,0.046508625,0.045894317,0.04622672,0.046147835,0.03938502,0.04707434,0.038977366,0.04413772,0.044232078,0.044387463,0.04332952,0.03897173,0.045903966,0.04196711,0.040399946,0.035396848,0.04427887,0.036453597,0.04523345,0.0475783,0.04659069,0.048667796,0.048868172,0.03959733,0.046458337,0.034088176,0.040424787,0.037030432,0.042933907,0.0464365,0.030761069,0.048757643,0.02300743,0.0598409,0.053307842,0.051671803,0.05412716,0.05411112,0.046006702,0.045965046,0.057661053,0.035377078,0.0367923,0.039779656,0.039679546,0.038233798,0.037588987,0.029509565,0.037026342,0.039484,0.03585015,0.043263197,0.049836475,0.042456284,0.0344125,0.040864002,0.03754404,0.047540613,0.044976585,0.034257118,0.033875626,0.034969784,0.045017447,0.04386314,0.03601655,0.036758,0.035651978,0.03979253,0.027943838,0.0414588,0.05458288,0.043765157,0.024661368,0.04958732,0.03407468,0.03495225,0.029514428,0.038967393,0.04002393
410.638,0.03921247,0.04770118,0.055808067,0.034972545,0.049864836,0.041842118,0.04543191,0.04285221,0.048034713,0.05412729,0.055527706,0.027854308,0.04331516,0.029260658,0.048696987,0.030443761,0.049284488,0.046897214,0.048662014,0.042876028,0.0469398,0.040786896,0.045437068,0.040018566,0.046900503,0.044636805,0.03270262,0.049697753,0.042415533,0.044046473,0.03953281,0.044490553,0.04595001,0.04885594,0.033240132,0.044955645,0.04018135,0.046066567,0.051480427,0.04740296,0.04141507,0.045107324,0.072630644,0.07073003,0.036518734,0.04621047,0.039412875,0.045732006,0.053945262,0.038145155,0.0456591,0.037233245,0.050901487,0.041048113,0.035273165,0.048820592,0.04278364,0.029533137,0.045701087,0.04326401,0.043052714,0.040658448,0.050156046,0.03976999,0.04333681,0.044813354,0.045350354,0.04456047,0.033743143,0.05435744,0.045161985,0.048826333,0.042084787,0.050841134,0.030019738,0.02976837,0.04022545,0.05626233,0.042932417,0.040825754,0.04015653,0.065275595,0.039478187,0.041155264,0.060924057,0.044463888,0.052902628,0.056197733,0.05211729,0.040273514,0.049107753,0.067468286,0.04827662,0.041056223,0.043360956,0.04987367,0.050655954,0.05077366,0.04983464,0.050514396,0.050394725,0.04130988,0.052333336,0.04085502,0.046350148,0.048809025,0.047971874,0.048000786,0.04279725,0.049752183,0.046725046,0.04391871,0.036861446,0.049588654,0.038001057,0.051426765,0.052166056,0.0516781,0.054934442,0.054142606,0.041576203,0.05173456,0.035609018,0.044698603,0.03884765,0.045023788,0.05235948,0.032610267,0.053467773,0.024389954,0.06566053,0.05978819,0.056995843,0.05915107,0.05875152,0.048752554,0.04988146,0.062831275,0.036621284,0.038171276,0.0436737,0.041673686,0.04015724,0.03948014,0.030652681,0.03894469,0.041487917,0.037576336,0.04727364,0.053265687,0.044376463,0.035886563,0.04282559,0.039296906,0.05076377,0.04871606,0.03587541,0.03682653,0.03972521,0.04981845,0.04600096,0.037897047,0.038906574,0.037159435,0.0421636,0.028741272,0.046062104,0.059963565,0.048482846,0.025744418,0.05360402,0.035924017,0.03631898,0.030461138,0.04056605,0.041627247
418.0536,0.04131461,0.052794658,0.06076271,0.037059568,0.05393998,0.045760766,0.049220458,0.045501985,0.05184824,0.059538677,0.059984926,0.029955877,0.046032492,0.030824281,0.053714797,0.03224494,0.05346129,0.049789265,0.05249909,0.047246296,0.05072859,0.04330437,0.048071094,0.042261798,0.049493518,0.04748613,0.034458764,0.054268707,0.044759385,0.046503898,0.04173713,0.04695447,0.049552538,0.050733883,0.034717165,0.047360837,0.04246365,0.048681866,0.05437151,0.049860515,0.043603573,0.047377948,0.07803837,0.0759195,0.038820896,0.049900074,0.04186955,0.04828365,0.056636047,0.040424705,0.04818743,0.039561555,0.05441817,0.043282125,0.03812832,0.05119138,0.045506895,0.031026661,0.0491191,0.04761749,0.0474462,0.046306822,0.05406901,0.042627715,0.046919726,0.04739888,0.047866635,0.04700711,0.035794817,0.059176378,0.047626466,0.05289634,0.045879994,0.055489715,0.031593293,0.031312797,0.04245498,0.061891146,0.04635475,0.043056305,0.04234325,0.07129733,0.041535493,0.043346852,0.06735516,0.04892984,0.059143044,0.061780013,0.056803506,0.0428043,0.05237906,0.07364622,0.05162711,0.043132868,0.045540977,0.052977,0.055001758,0.05417247,0.053323917,0.054304775,0.05236185,0.043506507,0.055035543,0.04302252,0.048865225,0.05315946,0.052238736,0.051623274,0.046018425,0.05380519,0.05161648,0.047834184,0.038764365,0.05455678,0.039992288,0.056126233,0.05754791,0.057118274,0.05997022,0.05916343,0.043776322,0.056071427,0.037456345,0.046607435,0.04090196,0.047391072,0.05564218,0.034837943,0.057929546,0.026069583,0.06932606,0.06475843,0.06286997,0.0625317,0.062856786,0.05182413,0.055739846,0.06792258,0.038173128,0.03983058,0.047630772,0.04396104,0.042330578,0.041671135,0.032123517,0.041194525,0.043771937,0.039642513,0.050996896,0.056574006,0.046619367,0.03767387,0.045122277,0.04141402,0.05354097,0.05114411,0.037813492,0.040301293,0.04276773,0.05429355,0.048469376,0.04007124,0.041337643,0.038962163,0.044836693,0.029851113,0.05084368,0.064825125,0.052715577,0.027106207,0.058689732,0.038050625,0.038029943,0.031740487,0.042488,0.043570995
425.47214,0.04358435,0.056853924,0.063620605,0.03926976,0.055744354,0.04903914,0.051863816,0.04827433,0.054339394,0.06305107,0.06345318,0.03220162,0.048956923,0.03255995,0.0559263,0.03427083,0.05759673,0.05286519,0.05623081,0.04878329,0.052734654,0.045885254,0.050864212,0.04462991,0.052216228,0.05049672,0.03629895,0.05761558,0.047229912,0.049128946,0.044070765,0.04955454,0.051712453,0.053572506,0.036312528,0.04990184,0.04488646,0.051442776,0.05741317,0.052427623,0.0458961,0.04979982,0.08337337,0.08139519,0.04129889,0.053790167,0.04451995,0.05096152,0.059605137,0.04285354,0.050894342,0.042079583,0.056363024,0.045605965,0.03921627,0.05369682,0.048390668,0.03263401,0.052138444,0.05066085,0.049648814,0.050282575,0.0570678,0.045736313,0.04849401,0.0507885,0.05053831,0.049604453,0.03799681,0.06362671,0.05028152,0.056129526,0.049024735,0.059372388,0.033342447,0.03302837,0.044810727,0.06626466,0.049151756,0.04534817,0.044690967,0.07445632,0.04374208,0.045608535,0.07081284,0.05064285,0.06352316,0.066216856,0.05865285,0.045486875,0.056206033,0.07783088,0.05509728,0.045355543,0.04785171,0.05584045,0.057853434,0.057278253,0.056640472,0.05685685,0.05516457,0.045851823,0.058243036,0.04534462,0.05149902,0.055558175,0.054508694,0.05343229,0.04846513,0.05629552,0.054941602,0.050002,0.040919807,0.058488622,0.042274147,0.059786405,0.06170562,0.06063704,0.06368312,0.06329338,0.046061367,0.0602286,0.03945266,0.049941774,0.043058306,0.049907822,0.058901083,0.03728674,0.06138105,0.027873209,0.0740393,0.0687187,0.06647721,0.06632728,0.06592752,0.05515513,0.059236437,0.07247428,0.0398583,0.041569427,0.0500037,0.04641215,0.044639416,0.044010818,0.03375714,0.04363405,0.04619512,0.04187368,0.053127747,0.05849823,0.049051795,0.0395984,0.047570914,0.043710764,0.055538796,0.053205438,0.039950877,0.042038053,0.04550258,0.057445947,0.051159613,0.04238383,0.043923587,0.040853437,0.047702536,0.031089962,0.05421834,0.0690645,0.05566693,0.028612945,0.061050296,0.04033733,0.03987082,0.033143632,0.044540145,0.04566128
432.8927,0.045938,0.059349053,0.066223614,0.041500404,0.05782774,0.049897455,0.05332463,0.05105347,0.057024598,0.066148944,0.065037124,0.034415003,0.05203515,0.034320977,0.05809637,0.036397867,0.059950415,0.056088157,0.057251815,0.050152138,0.0535864,0.048431624,0.053675003,0.047021512,0.054991413,0.053591967,0.03815225,0.059460517,0.04973987,0.051851552,0.046438485,0.05218878,0.052320115,0.054819584,0.037880704,0.05253104,0.047367994,0.05426406,0.060445648,0.054999076,0.04815392,0.052293748,0.08779426,0.08528718,0.043827422,0.055456147,0.047245007,0.053733703,0.06107959,0.04530883,0.053673394,0.044682357,0.056888737,0.047961593,0.039884467,0.056180276,0.051339395,0.03423113,0.053128555,0.052432362,0.05121006,0.05172084,0.05732794,0.049025793,0.050023764,0.051061828,0.053366754,0.052345216,0.040237103,0.066277854,0.053026617,0.05866324,0.050521817,0.061213847,0.035058156,0.034736633,0.047205094,0.06984544,0.0504096,0.047552228,0.047114994,0.07873734,0.04603841,0.04780987,0.07295265,0.0537297,0.06631006,0.06910484,0.061522007,0.048222642,0.057928655,0.08034251,0.055051766,0.047576208,0.050201286,0.0567935,0.06016201,0.05804859,0.058003284,0.05770513,0.05695572,0.04826839,0.059655398,0.047753774,0.054146077,0.05646391,0.055282746,0.054909967,0.049774956,0.057764374,0.056918576,0.052017942,0.043193314,0.061181832,0.0446649,0.06318785,0.06348938,0.062084317,0.06519975,0.0655562,0.048299454,0.061810102,0.041432567,0.050389677,0.04518752,0.052550714,0.060352545,0.039827026,0.06264393,0.029642763,0.07647542,0.07027242,0.06773681,0.06777119,0.06863999,0.058760203,0.061962128,0.07471995,0.041532345,0.043214254,0.051423438,0.048937466,0.046962056,0.04638879,0.035439648,0.046172306,0.048605014,0.04406584,0.054227825,0.059423476,0.051516093,0.04152227,0.050015077,0.046010252,0.056212388,0.053753164,0.042122256,0.042213384,0.046009865,0.059593294,0.054001156,0.044751935,0.04653453,0.042712342,0.050664544,0.03226795,0.05566829,0.070848,0.05690145,0.030093515,0.06330583,0.04263112,0.041711748,0.03450627,0.046573788,0.04773659
440.31726,0.04806245,0.062381648,0.06903389,0.043473627,0.059719454,0.052721273,0.05506103,0.05346586,0.058712456,0.07001858,0.06762241,0.036355995,0.054898135,0.035836082,0.061847996,0.038249325,0.062383592,0.059009284,0.060233917,0.052506924,0.055385064,0.050656296,0.056115773,0.049134307,0.05740859,0.056388114,0.039777555,0.06101505,0.051936213,0.054260317,0.048571672,0.054482106,0.053879388,0.056183606,0.039172407,0.05491193,0.049576443,0.05678042,0.06303263,0.057232402,0.05005304,0.054458942,0.09259986,0.090366006,0.046075817,0.058733735,0.049698513,0.056215353,0.06272935,0.047491226,0.056152776,0.047053937,0.058398698,0.05006991,0.040498734,0.058266897,0.05402703,0.035576403,0.054984406,0.05407161,0.052617297,0.0542313,0.060018472,0.052127574,0.05137748,0.053469975,0.05593345,0.054851487,0.042204253,0.06957998,0.05548376,0.05994222,0.052421946,0.06437644,0.03648558,0.03617806,0.0493137,0.07348943,0.05316032,0.04940155,0.049291674,0.08279605,0.04809793,0.049696162,0.07602186,0.0552607,0.06989555,0.073550545,0.061819028,0.050713778,0.060445715,0.08404566,0.056465447,0.049441505,0.052205328,0.058201212,0.06243728,0.060035344,0.05965263,0.06056776,0.057812244,0.050431166,0.06165324,0.049905602,0.056398794,0.0588519,0.057652272,0.056831256,0.052282088,0.060023826,0.059013754,0.053089384,0.045178227,0.064386226,0.046753135,0.06614658,0.065857604,0.06559679,0.06736652,0.06790674,0.050188806,0.063417785,0.043106783,0.052165356,0.047039032,0.054922793,0.06311037,0.042129066,0.06561256,0.031187162,0.07944167,0.07421557,0.07223274,0.070584044,0.07148452,0.062150665,0.06425825,0.07793141,0.04292468,0.044534042,0.053343553,0.051175836,0.04902689,0.048466537,0.036886454,0.04842795,0.0506958,0.045902375,0.05636138,0.0610758,0.053653207,0.043167714,0.05209062,0.04800914,0.05753478,0.054527834,0.044019826,0.043941297,0.047986194,0.0618128,0.05656107,0.046849728,0.048857834,0.04425621,0.053381797,0.033212807,0.05861342,0.07386002,0.059658766,0.031340137,0.064889885,0.044630136,0.043291185,0.035613194,0.048317272,0.049497515
447.7428,0.050115835,0.06593174,0.07129308,0.045381527,0.060842603,0.05451879,0.057365265,0.055729467,0.060688846,0.07409364,0.06982584,0.038204145,0.057610024,0.037312273,0.06472615,0.040073782,0.065229274,0.061790783,0.063025944,0.05449082,0.05759054,0.05274467,0.058443554,0.051160835,0.059716698,0.059074406,0.04134952,0.063258104,0.05404244,0.056558244,0.050613906,0.056668013,0.05543322,0.057461992,0.040430926,0.05718509,0.051671043,0.059180878,0.065451734,0.05934928,0.0518363,0.056523595,0.096510105,0.09378333,0.04823746,0.061045043,0.052067675,0.05856782,0.064631484,0.049571157,0.05851547,0.04931803,0.060680643,0.05206265,0.041300043,0.060227953,0.056569453,0.036863495,0.057125848,0.055484064,0.05396776,0.056295857,0.061737355,0.055081654,0.052984685,0.053905368,0.0583919,0.05727622,0.044090137,0.07233213,0.057848,0.06275826,0.055191383,0.06739181,0.037871398,0.03758812,0.051340073,0.075950265,0.055552803,0.051141314,0.051397897,0.086118944,0.050092217,0.051485535,0.078582056,0.05694615,0.074129246,0.0776782,0.06439293,0.05309111,0.06282697,0.08712913,0.05797336,0.051210057,0.054149084,0.060124774,0.0651462,0.062209744,0.061206006,0.062150937,0.060127188,0.052514203,0.06341561,0.05198289,0.058508623,0.060563292,0.05943931,0.05872323,0.053777833,0.061558884,0.061674677,0.054189496,0.047106966,0.067482024,0.048776235,0.06895751,0.06839492,0.068411544,0.07075489,0.071156316,0.05196401,0.06642673,0.044731494,0.05402967,0.04882238,0.057208788,0.06555194,0.044385847,0.06785309,0.032685313,0.082258224,0.07791945,0.075422145,0.07329144,0.07315296,0.0654104,0.06753141,0.07966927,0.04428732,0.04577932,0.056045394,0.05335629,0.051012617,0.050458644,0.038313933,0.050613318,0.052669264,0.04763509,0.057833124,0.062333543,0.055672757,0.044763703,0.054069106,0.049944416,0.05943077,0.055693768,0.04585441,0.04549898,0.049780916,0.06378414,0.059042446,0.048867412,0.051093087,0.045750964,0.055990513,0.034161035,0.06078031,0.07646805,0.061489522,0.0325357,0.06807484,0.04657572,0.044835433,0.036702026,0.04998498,0.051184874
