Wavelength (nm),Point 1,Point 2,Point 3,Point 4,Point 5,Point 6,Point 7,Point 8,Point 9,Point 10,Point 11,Point 12,Point 13,Point 14,Point 15,Point 16,Point 17,Point 18,Point 19,Point 20,Point 21,Point 22,Point 23,Point 24,Point 25,Point 26,Point 27,Point 28,Point 29,Point 30,Point 31,Point 32,Point 33,Point 34,Point 35,Point 36,Point 37,Point 38,Point 39,Point 40,Point 41,Point 42,Point 43,Point 44,Point 45,Point 46,Point 47,Point 48,Point 49,Point 50,Point 51,Point 52,Point 53,Point 54,Point 55,Point 56,Point 57,Point 58,Point 59,Point 60,Point 61,Point 62,Point 63,Point 64,Point 65,Point 66,Point 67,Point 68,Point 69,Point 70,Point 71,Point 72,Point 73,Point 74,Point 75,Point 76,Point 77,Point 78,Point 79,Point 80,Point 81,Point 82,Point 83,Point 84,Point 85,Point 86,Point 87,Point 88,Point 89,Point 90,Point 91,Point 92,Point 93,Point 94,Point 95,Point 96,Point 97,Point 98,Point 99,Point 100,Point 101,Point 102,Point 103,Point 104,Point 105,Point 106,Point 107,Point 108,Point 109,Point 110,Point 111,Point 112,Point 113,Point 114,Point 115,Point 116,Point 117,Point 118,Point 119,Point 120,Point 121,Point 122,Point 123,Point 124,Point 125,Point 126,Point 127,Point 128,Point 129,Point 130,Point 131,Point 132,Point 133,Point 134,Point 135,Point 136,Point 137,Point 138,Point 139,Point 140,Point 141
381.00558,0.044922154,0.010830393,0.037347417,0.044147275,0.012553567,0.004752903,0.0029770923,0.0021133556,0.0028332812,0.0034907272,0.004459225,0.00383071,0.03197757,0.04139617,0.039230313,0.034962628,0.031130733,0.031147571,0.005662034,0.0066735265,0.005880347,0.005815097,0.0055713733,0.004503252,0.003036819,0.002743522,0.0050621093,0.0031509015,0.006243778,0.0036016353,0.0037252407,0.0035843407,0.0061319596,0.002057194,0.0026515604,0.0061911363,0.0013367403,0.004914536,0.0048470227,0.004516587,0.005548989,0.009289113,0.0039112186,0.023108002,0.023052843,0.031230126,0.029021429,0.02687866,0.025542004,0.02338027,0.0060165897,0.018225282,0.019504003,0.043003663,0.040263023,0.045440096,0.04458672,0.041238837,0.04620746,0.03810486,0.024329362,0.009471282,0.0044210567,0.0017581969,0.002665659,0.0031897319,0.0076534264,0.004976863,0.006206107,0.0080431085,0.006786269,0.006647424,0.0069075758,0.008790633,0.010128061,0.009606013,0.010976042,0.0046919817,0.06844932,0.0699799,0.005171454,0.040303838,0.065004796,0.0055588926,0.05635217,0.065004796,0.012994802,0.0043613,0.004807789,0.0050471295,0.03978372,0.0065848595,0.0048775636,0.005476782,0.004783424,0.005161688,0.0053135883,0.0060120863,0.006090188,0.0076193484,0.029717421,0.008454262,0.020730248,0.0069953683,0.0070797913,0.0074485578,0.020347245,0.022586608,0.0076409243,0.0069667827,0.008539142,0.022061484,0.020622889,0.010923017,0.029112171,0.021771824,0.008853294,0.011944881,0.019564826,0.008544162,0.013457483,0.013610986,0.011628365,0.014807039,0.020769656,0.020711154,0.022134917,0.011310573,0.012767346,0.01245671,0.010287835,0.023625406,0.02007619,0.020745626,0.013091572,0.029051209,0.009743265,0.019724498,0.03315051,0.03739207,0.037299287
388.4092,0.0532638,0.011526277,0.044993114,0.051281955,0.013596553,0.0060999673,0.0041136146,0.0033189387,0.003999137,0.004629891,0.00565799,0.004913462,0.03743842,0.046382006,0.045458183,0.039317276,0.03853589,0.037136476,0.0066560158,0.0074907783,0.006761538,0.006724559,0.006596702,0.005548418,0.004106801,0.0037931993,0.005989468,0.004190809,0.0071580834,0.004460114,0.0047901585,0.004585724,0.0073822825,0.0032900057,0.0037866668,0.0073093907,0.0025487235,0.005859236,0.005675106,0.0052723032,0.006335354,0.010299759,0.0047004437,0.02478383,0.027502887,0.03494071,0.033866342,0.03138199,0.02942158,0.027553247,0.007198538,0.01948414,0.023957249,0.048698604,0.045351565,0.049906164,0.04840203,0.046260513,0.0506955,0.04319023,0.02605799,0.010629662,0.0054351734,0.0032092677,0.0037862747,0.004369431,0.009092565,0.006152411,0.007377817,0.0091980845,0.007818848,0.007791572,0.008104149,0.00985661,0.01125614,0.010690574,0.012263002,0.0055700936,0.07116876,0.072656035,0.0061224755,0.044790488,0.067853816,0.0065566907,0.059123136,0.067853816,0.014386753,0.0051620966,0.005569885,0.00586033,0.04330757,0.00754923,0.0056754877,0.006221444,0.005554935,0.0060604173,0.0062241545,0.0069762557,0.006998772,0.0084608495,0.03217023,0.009119921,0.02280442,0.007762799,0.007826022,0.008181563,0.022433287,0.024832131,0.008393407,0.007690337,0.009232248,0.024205089,0.022440545,0.012023281,0.03151131,0.023916878,0.010048267,0.012950459,0.021789793,0.009657364,0.014426816,0.014913659,0.012788077,0.015934497,0.02288671,0.022694279,0.024129298,0.012374642,0.013752207,0.013413014,0.011343299,0.025945848,0.02220068,0.022864698,0.014083846,0.031299833,0.01091354,0.0244403,0.036267042,0.039290465,0.038570795
395.81583,0.06271686,0.012226826,0.052041773,0.060508072,0.014631051,0.007448549,0.005258289,0.0045285574,0.005176943,0.0057775634,0.00687151,0.0060002063,0.04259531,0.054577123,0.051651493,0.04584477,0.044096988,0.04251526,0.0076571284,0.00830922,0.007647951,0.0076391,0.007629243,0.0065970495,0.00518952,0.004842527,0.0069236117,0.005227307,0.008080124,0.005329207,0.0058548786,0.0055956305,0.008638525,0.004527562,0.0049248002,0.00843312,0.0037646191,0.0068102446,0.006510846,0.0060341256,0.007122465,0.011320892,0.0054947156,0.02646188,0.03413162,0.04227595,0.039489985,0.038084634,0.037316296,0.03436892,0.008384427,0.020745289,0.029088156,0.05628365,0.051397037,0.055476237,0.055564154,0.052538354,0.056990646,0.049360882,0.027789531,0.011796067,0.006454824,0.0046654264,0.004912924,0.0055537405,0.010543103,0.0073290407,0.008557903,0.0103584705,0.008863158,0.008930392,0.009303598,0.01092506,0.012388983,0.011787646,0.013565126,0.006451106,0.07387407,0.07534554,0.0070865313,0.049748044,0.07072185,0.007554855,0.06189612,0.07072185,0.0157918,0.005971252,0.006346915,0.006673078,0.04913081,0.008517491,0.0064787655,0.0069751847,0.0063269897,0.006959965,0.007133694,0.007943632,0.007909194,0.009307821,0.034626603,0.009796774,0.02488417,0.008534244,0.008581761,0.008932684,0.024515988,0.027087739,0.00915554,0.008427397,0.009930276,0.026351012,0.024269806,0.013123876,0.033920612,0.026069354,0.011245976,0.0139576215,0.024032617,0.010778244,0.015402565,0.016219867,0.013952917,0.01705866,0.025005363,0.024698576,0.0261163,0.013442247,0.014742948,0.014378732,0.012397669,0.028255524,0.024336996,0.024997285,0.015077396,0.033554427,0.012092508,0.026238447,0.039697543,0.045098558,0.0446841
403.2254,0.07024376,0.012918715,0.05939469,0.06815644,0.015675694,0.008797479,0.0063992296,0.005734655,0.0063407114,0.0069239424,0.008070456,0.007090759,0.048335392,0.058212973,0.055022553,0.04932287,0.047768302,0.047425833,0.008657097,0.009133429,0.00853442,0.008553053,0.008657095,0.007643338,0.0062693227,0.005893074,0.0078543825,0.0062652193,0.008994351,0.0061910343,0.0069214236,0.0066064484,0.00989738,0.0057660695,0.0060644443,0.009554001,0.004972316,0.0077598006,0.0073487535,0.006798568,0.007910862,0.012340005,0.0062922845,0.028139565,0.039596964,0.046685137,0.045009132,0.04267316,0.041869547,0.040104356,0.009570763,0.022009173,0.03393078,0.060496062,0.05735424,0.059976026,0.06066779,0.056909703,0.06017644,0.05359436,0.029516747,0.012955713,0.007466762,0.0061269896,0.0060380506,0.0067397226,0.011987631,0.008512467,0.009738297,0.011520048,0.009905247,0.010080055,0.0105052795,0.011992306,0.013521835,0.012884876,0.014859058,0.0073431977,0.07660455,0.07803168,0.00805411,0.053489327,0.07358921,0.008563469,0.06468423,0.07358921,0.017194541,0.006779826,0.0071190074,0.007492327,0.05393215,0.009494441,0.00728243,0.0077324267,0.0071090553,0.007866535,0.008060198,0.008916459,0.008823726,0.010157744,0.03708468,0.010481444,0.0269711,0.009317349,0.009344451,0.009671933,0.026605485,0.029346718,0.00991165,0.00916403,0.010630607,0.028501386,0.026090238,0.014229267,0.03633138,0.02822481,0.012444863,0.014977347,0.026266728,0.011899707,0.016383938,0.017537808,0.015121516,0.018198889,0.027137788,0.026679195,0.028121918,0.014516829,0.015737116,0.015342767,0.013458419,0.030577185,0.026478881,0.02713934,0.016081305,0.03580961,0.01327106,0.030191252,0.04477411,0.04945009,0.04786917
410.638,0.079312555,0.013824906,0.06571184,0.07617663,0.016851865,0.010188712,0.007605679,0.0069828783,0.007590497,0.00814923,0.009366247,0.008249797,0.053823903,0.06371856,0.06101804,0.054711454,0.053697113,0.051916428,0.0096765645,0.01000474,0.009465491,0.009510851,0.009713395,0.008810863,0.0074013923,0.0070141973,0.008793447,0.007386693,0.009990475,0.0071764775,0.008027861,0.0077216825,0.011239149,0.007016281,0.007224358,0.01073713,0.0062391805,0.008817342,0.008291902,0.0076627326,0.008804418,0.013482565,0.0072037526,0.030046225,0.044163957,0.052256495,0.05084207,0.04976381,0.047926653,0.045970004,0.010869585,0.023475295,0.038594395,0.06694375,0.062727705,0.06593231,0.06629365,0.06330882,0.06539363,0.058957897,0.031422466,0.014249631,0.008579701,0.0075268634,0.007207083,0.007951892,0.013503031,0.009737676,0.011016806,0.01277421,0.011058856,0.011274969,0.011785567,0.013148635,0.014755111,0.014111014,0.01630983,0.008421696,0.08006143,0.08147599,0.009150475,0.05933175,0.07712412,0.009683824,0.06805534,0.07712412,0.018793361,0.0077949367,0.008099757,0.008525056,0.059132222,0.010663646,0.008302799,0.008710062,0.008118619,0.008992528,0.009204249,0.010085854,0.0099579245,0.011254696,0.039821293,0.01142169,0.029289372,0.010303799,0.010321438,0.010657661,0.028875768,0.031833682,0.010924373,0.0101528745,0.011595606,0.030832354,0.028100908,0.015427272,0.038984828,0.030568179,0.013709084,0.016125424,0.028695105,0.013080297,0.017519623,0.018958433,0.01638145,0.01950012,0.029460391,0.028897796,0.030376486,0.015692245,0.016883818,0.016467514,0.014612193,0.033117965,0.028797034,0.029450696,0.017227242,0.038291305,0.014550083,0.03557221,0.049472947,0.053938534,0.053170856
418.0536,0.08638863,0.01482489,0.073256075,0.082328476,0.018069569,0.01149719,0.008742752,0.008135224,0.008749412,0.009318261,0.010602751,0.009358077,0.05891421,0.06771458,0.0662372,0.059235934,0.057870172,0.056873832,0.010708546,0.010904028,0.010408244,0.010482789,0.010767243,0.009954007,0.008480285,0.008114783,0.009692632,0.008457636,0.010999931,0.008168788,0.009085492,0.008818259,0.0125737805,0.008183654,0.008298969,0.01187564,0.0074018617,0.009865402,0.009250991,0.0085646175,0.009724995,0.014610629,0.008117199,0.032113723,0.05056562,0.057343695,0.055744108,0.055093892,0.051585328,0.049266778,0.012139411,0.025104083,0.042232204,0.0719409,0.0678455,0.07067203,0.07115726,0.067513205,0.070201136,0.06253556,0.03345624,0.015576071,0.009674899,0.008754683,0.008304886,0.0090901945,0.014991562,0.010876626,0.012236,0.013988116,0.012195792,0.012400662,0.01299508,0.014265152,0.015954172,0.015303541,0.01779216,0.009512834,0.08426829,0.08570137,0.010221886,0.06399547,0.08134679,0.010801102,0.07201801,0.08134679,0.020496935,0.008841765,0.00910887,0.009572639,0.06332115,0.011863541,0.009340841,0.009729383,0.009168415,0.010137913,0.0103604635,0.011261479,0.011102676,0.012411599,0.042776827,0.0124850515,0.031792417,0.011361521,0.011366963,0.011718859,0.031267777,0.03449873,0.01201926,0.011237116,0.012666547,0.033312026,0.030225607,0.016708067,0.04180394,0.033042293,0.015024222,0.017382143,0.031232072,0.014303702,0.01879256,0.020472543,0.017724432,0.020928435,0.03192012,0.03127791,0.03283772,0.016961416,0.018159354,0.017709374,0.015859084,0.03582315,0.031234937,0.03190187,0.018505162,0.04094276,0.015893945,0.03862721,0.053005192,0.05775182,0.056910645
425.47214,0.09372091,0.015599131,0.07850979,0.088463925,0.018984094,0.012438878,0.009516155,0.008881794,0.0095486725,0.01014589,0.011474283,0.0101682665,0.062081467,0.07120469,0.06972146,0.062052578,0.059640247,0.059349906,0.01162067,0.011724645,0.011238494,0.011318337,0.011657598,0.010713834,0.0091489125,0.008878477,0.01040572,0.0091690635,0.011860248,0.008880272,0.009862414,0.009548544,0.013625896,0.008893321,0.008963292,0.012592918,0.008078125,0.010641764,0.009982782,0.009272247,0.010428754,0.015261939,0.008762845,0.034027312,0.054027244,0.061214373,0.0596328,0.059698027,0.05582838,0.053587444,0.013051381,0.026658725,0.045692682,0.07587915,0.0713289,0.07484981,0.07457736,0.071296096,0.072433345,0.06618789,0.03538388,0.016713735,0.010512323,0.009474931,0.0090428805,0.009835521,0.016180843,0.011587204,0.0130306175,0.014788922,0.012965514,0.013101825,0.013756411,0.015012327,0.01671642,0.01608153,0.019044254,0.010267935,0.08887026,0.09031185,0.010933253,0.068379045,0.08595508,0.011543931,0.07628192,0.08595508,0.022042919,0.009521447,0.009789012,0.01026331,0.067273684,0.012714851,0.009996463,0.010397966,0.0098651815,0.01092167,0.0111265145,0.012056031,0.011863983,0.0132123185,0.045739852,0.013375896,0.034277737,0.012195579,0.012145015,0.012568676,0.0335974,0.03713495,0.012912909,0.012083402,0.013548431,0.03573013,0.032238744,0.0178289,0.044628438,0.03544789,0.016121568,0.018507464,0.03373129,0.015312317,0.019943178,0.021846205,0.018885752,0.022222208,0.034316264,0.033646,0.035276707,0.018069973,0.019322142,0.018822368,0.016929803,0.03850584,0.033618413,0.034314897,0.019668221,0.043530036,0.017021783,0.042545404,0.055447087,0.061181232,0.06016435
432.8927,0.099482074,0.016125586,0.08205181,0.09288018,0.019602148,0.013034654,0.009933221,0.009283915,0.009980344,0.010629981,0.012004146,0.010675185,0.063299716,0.07333671,0.071257845,0.06277256,0.060517173,0.061123043,0.012396495,0.0124147665,0.011914734,0.011988319,0.012365163,0.011112786,0.009467433,0.009308634,0.010906357,0.009551307,0.0125402175,0.009304447,0.010352329,0.009941373,0.014385474,0.009202661,0.009268212,0.012949136,0.008314268,0.011132192,0.010448217,0.009752686,0.010911912,0.015506116,0.0091170985,0.03573942,0.056795597,0.06261586,0.06033124,0.062378947,0.057093587,0.055202235,0.0136518935,0.028091684,0.046631906,0.07881853,0.07279718,0.07703621,0.07587008,0.07269737,0.07445269,0.066974185,0.037152324,0.017624639,0.011066656,0.009784517,0.009453501,0.010220846,0.017091861,0.011914504,0.013450691,0.015205523,0.013384929,0.013442076,0.014119685,0.015423172,0.017095316,0.01647071,0.020019244,0.010667904,0.09357677,0.095030844,0.01129976,0.06955111,0.09066653,0.011964083,0.08062277,0.09066653,0.02336907,0.009833185,0.010109796,0.010579475,0.07051671,0.0132208485,0.010267062,0.01071186,0.0102066025,0.011313853,0.011468536,0.0124596255,0.012220317,0.013647544,0.048562128,0.014032229,0.03662384,0.012760282,0.012618341,0.013126121,0.035761356,0.039633516,0.013537097,0.012619713,0.014177845,0.03801434,0.0340538,0.0187936,0.04732675,0.03769367,0.017012144,0.019472498,0.03609359,0.016115716,0.020947646,0.023054432,0.019874984,0.023356747,0.03652833,0.035883028,0.037587684,0.019028882,0.020330414,0.019774655,0.017846022,0.041081738,0.03585499,0.036569837,0.020670643,0.045961935,0.017935863,0.04224231,0.05696557,0.064020805,0.062683545
440.31726,0.105233826,0.016524274,0.08605813,0.09931792,0.020097047,0.013519326,0.010264504,0.009614463,0.010349449,0.011038095,0.012439982,0.011105694,0.06716982,0.07619254,0.07290546,0.06547432,0.062484395,0.062122855,0.013111173,0.013041996,0.012528423,0.012595801,0.013014146,0.0114427665,0.00973326,0.009675921,0.011352175,0.009874048,0.013149848,0.009660183,0.010773868,0.010262769,0.015047047,0.0094768405,0.00952939,0.013224046,0.008494435,0.011544792,0.01086105,0.010169501,0.01132693,0.015657919,0.009407453,0.03723758,0.059363008,0.064874105,0.063453995,0.06451914,0.058690134,0.05843985,0.014154593,0.029341148,0.048970886,0.08183909,0.075266585,0.078790635,0.07827528,0.07461138,0.077087075,0.06954978,0.038682412,0.018405987,0.011550594,0.010033545,0.0097884,0.010551159,0.017861351,0.012152471,0.0137684,0.015515604,0.013714167,0.013687136,0.014388008,0.015749125,0.017366853,0.016746068,0.020845603,0.010963588,0.097627,0.09912557,0.011570053,0.07364007,0.09478459,0.012293113,0.084416255,0.09478459,0.024525205,0.010053768,0.010344612,0.010800723,0.07358447,0.01361402,0.010433664,0.010915156,0.010436224,0.011581371,0.011702886,0.012746354,0.012452841,0.013937105,0.050999384,0.0145616485,0.038662948,0.013206919,0.012970222,0.013560756,0.03764219,0.041833665,0.014030553,0.013032161,0.014682014,0.040001318,0.03559572,0.019671135,0.049645063,0.03965238,0.01783056,0.020329274,0.038195897,0.016850691,0.021834476,0.024117267,0.020763695,0.024339419,0.038467046,0.03783576,0.03958604,0.019896146,0.021231053,0.020609768,0.01868234,0.04335308,0.03783027,0.03856257,0.021563213,0.048065387,0.018765671,0.043435317,0.059875287,0.06603199,0.06534968
447.7428,0.11215759,0.016864104,0.09125023,0.1036878,0.020496136,0.013885681,0.010485752,0.009831943,0.010592592,0.011334604,0.012758232,0.01143119,0.069094874,0.07805964,0.074065365,0.06706744,0.06393912,0.064026214,0.01374608,0.013600782,0.013068072,0.013119863,0.013576085,0.011648062,0.009889218,0.009947998,0.011718225,0.010084118,0.01366503,0.009947876,0.011089986,0.010475217,0.015586205,0.00963453,0.009667604,0.013391746,0.008552169,0.011865679,0.011182807,0.010520879,0.011658235,0.015712226,0.009627493,0.03857529,0.06247113,0.067273654,0.065198645,0.06807647,0.062070575,0.060032677,0.014532853,0.030466095,0.05092438,0.083942294,0.07882896,0.08120281,0.08086399,0.07727249,0.07897494,0.07106981,0.040095612,0.019091433,0.011936648,0.010161288,0.010008606,0.0107561415,0.018500881,0.012297304,0.01397998,0.015718408,0.013928457,0.013829358,0.014541631,0.01596655,0.01753775,0.01691011,0.021579815,0.011172265,0.10145085,0.102989346,0.011757845,0.076320745,0.09866268,0.012541282,0.08798281,0.09866268,0.025590926,0.010191263,0.010512396,0.010937666,0.07643877,0.013898838,0.0105260415,0.011063424,0.010591252,0.011755735,0.011843157,0.012933534,0.012582661,0.014149467,0.05325292,0.015028728,0.04055921,0.013578857,0.0132639995,0.013924765,0.039367124,0.04387036,0.014459254,0.013371998,0.015118694,0.041835405,0.03703167,0.020492153,0.051781997,0.041464157,0.018597864,0.021141827,0.04011374,0.017529719,0.022676157,0.025119165,0.021600662,0.025279788,0.04026207,0.03966198,0.041450392,0.02070734,0.022084551,0.021414904,0.019471137,0.045454472,0.039659027,0.040389575,0.02240998,0.05002702,0.019525975,0.04418702,0.061894245,0.06971896,0.06788087
