Wavelength (nm),Point 1,Point 2,Point 3,Point 4,Point 5,Point 6,Point 7,Point 8,Point 9,Point 10,Point 11,Point 12,Point 13,Point 14,Point 15,Point 16,Point 17,Point 18,Point 19,Point 20,Point 21,Point 22,Point 23,Point 24,Point 25,Point 26,Point 27,Point 28,Point 29,Point 30,Point 31,Point 32,Point 33,Point 34,Point 35,Point 36,Point 37,Point 38,Point 39,Point 40,Point 41,Point 42,Point 43,Point 44,Point 45,Point 46,Point 47,Point 48,Point 49,Point 50,Point 51,Point 52,Point 53,Point 54,Point 55,Point 56,Point 57,Point 58,Point 59,Point 60,Point 61,Point 62,Point 63,Point 64,Point 65,Point 66,Point 67,Point 68,Point 69,Point 70,Point 71,Point 72,Point 73,Point 74,Point 75,Point 76,Point 77,Point 78,Point 79,Point 80,Point 81,Point 82,Point 83,Point 84,Point 85,Point 86,Point 87,Point 88,Point 89,Point 90,Point 91,Point 92,Point 93,Point 94,Point 95,Point 96,Point 97,Point 98,Point 99,Point 100,Point 101,Point 102,Point 103,Point 104,Point 105,Point 106,Point 107,Point 108,Point 109,Point 110,Point 111,Point 112,Point 113,Point 114,Point 115,Point 116,Point 117,Point 118,Point 119,Point 120,Point 121,Point 122,Point 123,Point 124,Point 125,Point 126,Point 127,Point 128,Point 129,Point 130,Point 131,Point 132,Point 133,Point 134,Point 135,Point 136,Point 137,Point 138,Point 139,Point 140,Point 141
381.00558,0.036234714,0.0041890116,0.020468093,0.033558056,0.008226578,0.010288876,0.009677999,0.008492869,0.011846484,0.010785963,0.014419915,0.01166031,0.03455235,0.033751898,0.028698808,0.026070839,0.030081745,0.020157428,0.0424353,0.039132506,0.041973718,0.037149318,0.044152603,0.02647188,0.033057053,0.037784,0.0061794505,0.037120815,0.0063385726,0.03952908,0.0055357413,0.03730635,0.040298134,0.043023385,0.041962307,0.014255598,0.009863361,0.032707974,0.033226125,0.029321264,0.02591639,0.011156312,0.026927419,0.01944761,0.03511675,0.0368258,0.03876247,0.030418696,0.0370203,0.03598461,0.015616003,0.013207978,0.026230562,0.032585032,0.035533473,0.032818947,0.034457944,0.033864312,0.03354701,0.028314808,0.026948899,0.01997495,0.017125389,0.016883876,0.012850728,0.010161462,0.015852056,0.010838394,0.010380321,0.013778137,0.009161018,0.009468908,0.010051021,0.010381248,0.01189125,0.01189905,0.015752597,0.013496897,0.021587858,0.022759328,0.019934822,0.032960612,0.027352849,0.020698134,0.02546218,0.025396349,0.024070818,0.011718362,0.011037801,0.012558791,0.030548405,0.015817147,0.00928772,0.01148779,0.009716807,0.0107493745,0.009026879,0.008903336,0.008855585,0.011868261,0.028185273,0.0154337045,0.025992237,0.01052911,0.009127419,0.008919771,0.024290085,0.018110108,0.0084940605,0.012749722,0.008074181,0.025974825,0.022163829,0.029758792,0.011602627,0.034056082,0.020336112,0.013177832,0.025783908,0.01250348,0.012772992,0.012883403,0.012883403,0.013315196,0.026253087,0.04069247,0.0346648,0.01017379,0.01207612,0.011392316,0.008363722,0.043573447,0.024842147,0.040800106,0.012730061,0.012596083,0.011130238,0.023170467,0.0340466,0.03447413,0.033098582
388.4092,0.04377372,0.009237327,0.027046785,0.041150734,0.009158444,0.011554783,0.010911306,0.009618269,0.012954234,0.012092524,0.015564156,0.012855171,0.036536336,0.03614823,0.030953601,0.028295113,0.032231983,0.022617418,0.04480045,0.043147173,0.045701317,0.03855628,0.046836667,0.032382876,0.036084395,0.042462323,0.0071669454,0.03803311,0.0073095188,0.042670794,0.0066004307,0.040207047,0.04326886,0.044967495,0.045611497,0.015174872,0.0107318,0.036103446,0.0368051,0.03301483,0.028042058,0.012406597,0.02932564,0.023776963,0.03919018,0.040869575,0.043629125,0.03551375,0.042201694,0.039362863,0.016221836,0.014116976,0.02860551,0.035092544,0.037943967,0.035226382,0.036812585,0.0361893,0.035885215,0.03072042,0.028426167,0.021059334,0.018238928,0.01809029,0.013865762,0.011067988,0.01690293,0.011948728,0.011364726,0.014893716,0.010220711,0.010462357,0.011000218,0.011456896,0.01302904,0.012918814,0.01717621,0.014756822,0.02307952,0.024251288,0.020680211,0.03555063,0.028913015,0.021654176,0.02681927,0.026848722,0.02463661,0.012386869,0.011803741,0.0133001525,0.033133596,0.016614968,0.010093519,0.012221073,0.010504485,0.011644021,0.009925591,0.009843064,0.009757915,0.012745966,0.029974945,0.016467314,0.027558139,0.011731917,0.010271283,0.010167858,0.025872672,0.022668138,0.00978925,0.014171496,0.0092118215,0.02786842,0.023168944,0.031598892,0.017210841,0.035605095,0.021472858,0.013805495,0.030403884,0.013204333,0.01332608,0.013577855,0.013577855,0.013869503,0.029971281,0.042139374,0.03620623,0.010811596,0.012626499,0.011889474,0.009091913,0.04525588,0.028550461,0.04226839,0.013409255,0.013235722,0.012144413,0.023844441,0.03960229,0.037453543,0.039837528
395.81583,0.049710255,0.01431868,0.029584778,0.04725956,0.010091649,0.0128228655,0.012145171,0.010744221,0.01406418,0.013401708,0.016711194,0.014051961,0.038531743,0.03854282,0.033207614,0.030524332,0.03438827,0.025079522,0.047261942,0.04569149,0.04889027,0.044037733,0.048098784,0.032786623,0.039854802,0.0454667,0.00815534,0.0424697,0.008280873,0.045027185,0.0076659247,0.041852493,0.0458826,0.046880692,0.04790656,0.016094401,0.011601677,0.038388062,0.040483948,0.036189146,0.031195682,0.013657984,0.032596458,0.028525472,0.045009684,0.046930373,0.046624675,0.04091796,0.045641046,0.04307557,0.016828967,0.0150261,0.030981682,0.037602924,0.040359013,0.037635464,0.03916816,0.038517307,0.0382229,0.033134516,0.029908245,0.02214771,0.019355688,0.019295428,0.014884868,0.011975497,0.017956395,0.01305821,0.012351781,0.016010284,0.011281879,0.011458105,0.011952782,0.012533134,0.014169987,0.013940757,0.018601341,0.016016671,0.024576811,0.025749266,0.021434471,0.038136333,0.030480247,0.02261521,0.028188981,0.028312335,0.025209883,0.013057121,0.012570594,0.014044309,0.035727877,0.017415412,0.010898064,0.012960117,0.011293618,0.01254643,0.010823666,0.010785378,0.010660712,0.013627981,0.031767692,0.017503422,0.029126966,0.012938086,0.0114176255,0.011419088,0.027455842,0.027792322,0.011087344,0.0155949425,0.010351588,0.02977062,0.024185007,0.03345393,0.022846123,0.03716367,0.022618178,0.014438046,0.03573575,0.013909094,0.01388341,0.014278541,0.014278541,0.014424268,0.035165515,0.043589696,0.037745938,0.011452614,0.013179585,0.012391524,0.009821477,0.046945974,0.03439984,0.04374199,0.014087759,0.013879029,0.013157454,0.024525361,0.04583366,0.0436045,0.0479022
403.2254,0.056581933,0.017146418,0.035881616,0.053212922,0.011024674,0.014091646,0.01337987,0.011870512,0.015175424,0.014712127,0.01785809,0.0152479615,0.040524974,0.040951215,0.03547133,0.03275626,0.036546506,0.027542718,0.05025228,0.04751426,0.050521526,0.04604146,0.051550012,0.035809223,0.04135483,0.046578743,0.009145013,0.043229245,0.0092523955,0.04670929,0.008731524,0.0450321,0.047844104,0.050173856,0.049799826,0.017016742,0.012472226,0.04107094,0.041171566,0.038519803,0.034624554,0.0149097005,0.03567174,0.034163896,0.04840843,0.050108247,0.053068798,0.046019558,0.0495153,0.046862025,0.017435592,0.015934743,0.033362716,0.040114105,0.042777024,0.040045287,0.041527636,0.040844224,0.040570192,0.03555538,0.031388935,0.023237996,0.020471103,0.020504316,0.015906058,0.012884573,0.019009925,0.014168795,0.01333733,0.017127736,0.012343992,0.0124551505,0.012903456,0.01361006,0.015312181,0.014961708,0.020027805,0.017278284,0.026075872,0.027244464,0.022184737,0.04073126,0.03204978,0.0235719,0.029556165,0.029777698,0.025784992,0.013726111,0.013344612,0.014786363,0.03831855,0.018213982,0.011706852,0.013695385,0.012085946,0.01344254,0.011725297,0.011729974,0.011565758,0.014512813,0.03355789,0.018537883,0.030691337,0.014143871,0.012566773,0.012671259,0.029039146,0.03316829,0.0123865865,0.017020915,0.011493587,0.031672746,0.025196288,0.03530013,0.027965002,0.0387201,0.023759112,0.015069298,0.03995369,0.014615826,0.01444054,0.014977847,0.014977847,0.01498313,0.040024135,0.045042396,0.03929286,0.0120946625,0.013731812,0.012895032,0.010551769,0.04863626,0.039265823,0.045212585,0.014767362,0.014521381,0.014176709,0.025203573,0.050753288,0.04758392,0.051264603
410.638,0.063493095,0.021517444,0.040968217,0.060606245,0.011894662,0.015303875,0.014525298,0.0130035505,0.016324045,0.016003923,0.019086497,0.016489662,0.042987276,0.04376771,0.038092297,0.03532186,0.039066866,0.030322598,0.05273172,0.051528923,0.05274068,0.049433615,0.053672157,0.037902113,0.044735204,0.049641,0.010035477,0.047022726,0.010144368,0.04952329,0.009679828,0.048074514,0.050821878,0.052900452,0.053512376,0.018043917,0.01337884,0.044190444,0.04478238,0.040998995,0.038693137,0.016063198,0.039100066,0.038542572,0.051774066,0.05513604,0.05611114,0.051952314,0.052457374,0.05153793,0.01819219,0.016879974,0.036005832,0.04291315,0.045493376,0.042772688,0.044221327,0.04352112,0.04327624,0.038331527,0.0330326,0.024439,0.021643372,0.021740103,0.016938958,0.013799321,0.020159403,0.015251636,0.014307603,0.018301634,0.013344906,0.013413611,0.013840307,0.014627478,0.016394675,0.01598308,0.021505792,0.018613722,0.027825795,0.029024329,0.023182686,0.04366705,0.033922013,0.02472951,0.031227937,0.031534694,0.02672659,0.014577185,0.014250231,0.015677124,0.041233074,0.019164613,0.012563738,0.014509848,0.012940825,0.014394463,0.012703651,0.012716677,0.012534373,0.015491305,0.035625268,0.019647771,0.032533772,0.0153001025,0.013665438,0.013877367,0.03086274,0.038861226,0.013584916,0.01840972,0.012556929,0.033819724,0.026472861,0.037406806,0.03320327,0.040584028,0.025125455,0.015889527,0.044254094,0.015530268,0.015187473,0.015864091,0.015864091,0.015733305,0.0450604,0.046855733,0.041174553,0.012890586,0.014455292,0.013574774,0.011434954,0.05071091,0.044026073,0.047039397,0.015614928,0.015333439,0.0153423,0.026169717,0.055789135,0.053420495,0.058197998
418.0536,0.0702774,0.025130894,0.043777656,0.065481864,0.012765391,0.016544284,0.015664447,0.014165246,0.017556923,0.01731372,0.020419098,0.017788062,0.04598524,0.047101457,0.041201446,0.03836103,0.042074647,0.033573143,0.054904245,0.053887147,0.055105537,0.050258983,0.055230748,0.04043175,0.04702724,0.05125359,0.010894384,0.049750775,0.01101644,0.051568665,0.010576615,0.050535563,0.053564556,0.055616472,0.05579924,0.01923204,0.014370386,0.045541987,0.04642322,0.04435233,0.040757567,0.0172098,0.041508902,0.042680196,0.058231045,0.05913823,0.05944669,0.05694798,0.055151895,0.055264264,0.019148594,0.017931066,0.03907563,0.04616215,0.04867345,0.045958336,0.047425862,0.046706647,0.04651316,0.041663103,0.034912832,0.0258197,0.022949113,0.02308608,0.018056704,0.014789425,0.021467306,0.016370952,0.015332111,0.019592442,0.014360013,0.014404689,0.01483842,0.015669608,0.017506616,0.017066812,0.023099426,0.020049086,0.029778117,0.03102319,0.024448236,0.0471629,0.036056776,0.026115265,0.033143844,0.033543155,0.028016642,0.015568272,0.015263672,0.016701512,0.04465489,0.02029077,0.013476935,0.015411837,0.013862795,0.01540066,0.013743905,0.013758392,0.01356505,0.016579356,0.037982527,0.020890372,0.034619313,0.016477836,0.014797479,0.015118461,0.032897606,0.042228937,0.014768314,0.019840917,0.013608063,0.036207505,0.02798232,0.039731503,0.03931263,0.04275932,0.02667452,0.016865164,0.04859286,0.016628832,0.016110478,0.016918097,0.016918097,0.01666139,0.047996823,0.049075358,0.043394692,0.013815059,0.01534992,0.014428253,0.012415009,0.053203244,0.047138344,0.049266227,0.016627457,0.01630768,0.016629454,0.027450606,0.06089406,0.05832559,0.062842034
425.47214,0.07490382,0.027052261,0.047389444,0.0683891,0.01364115,0.017808931,0.016809573,0.015355292,0.018872375,0.018647844,0.021817856,0.019126588,0.049417373,0.05084946,0.044691958,0.041798763,0.045482446,0.037278898,0.055452846,0.054027453,0.056629892,0.05249207,0.055891454,0.04331944,0.04896725,0.0514881,0.011732221,0.050704096,0.01187866,0.05191862,0.011435456,0.0510319,0.05449435,0.056957997,0.05648005,0.020536562,0.015435537,0.047020487,0.04779098,0.04504357,0.040682342,0.018359289,0.04130983,0.045831002,0.059560783,0.060862683,0.062498853,0.05914952,0.0573337,0.05666383,0.020272348,0.019076455,0.042485174,0.04976489,0.052237473,0.04950976,0.05103528,0.050303396,0.05017778,0.045458816,0.03694644,0.027304895,0.024318103,0.024490854,0.019192236,0.01581673,0.022859147,0.017490204,0.016390719,0.020935122,0.015370021,0.015404258,0.015865248,0.016725255,0.018626017,0.018175283,0.024732072,0.02149383,0.031777687,0.033084877,0.025882917,0.051144816,0.0382999,0.027623259,0.03514422,0.035636906,0.029510494,0.016520854,0.01622107,0.01770943,0.04851411,0.021458738,0.01432755,0.016308188,0.014715104,0.016305296,0.014656301,0.01471251,0.014496797,0.01763233,0.040464915,0.022199918,0.03682107,0.017633976,0.015936626,0.016348332,0.0350371,0.04723351,0.015912138,0.021269878,0.014636796,0.03871298,0.02952043,0.04207114,0.041761752,0.045095485,0.02820916,0.017823718,0.0514266,0.01775218,0.017067164,0.017976612,0.017976612,0.017671699,0.051955834,0.051547207,0.045824148,0.014712418,0.016318535,0.015365643,0.013305489,0.055951606,0.049587134,0.05173377,0.017678836,0.017318228,0.017873589,0.02897465,0.06553865,0.064222865,0.068269625
432.8927,0.078168176,0.027264884,0.04603143,0.07065238,0.014536302,0.019074041,0.017946195,0.016484804,0.020183124,0.019925598,0.023176799,0.020388745,0.053122837,0.05488694,0.048487525,0.045583718,0.049210053,0.04134716,0.05354966,0.0535704,0.055212934,0.051359676,0.05413264,0.041475803,0.046839148,0.050461166,0.012565069,0.050163414,0.012740515,0.05135236,0.01227808,0.049172655,0.05437908,0.055381354,0.055508252,0.021897322,0.016528208,0.04597887,0.046806544,0.0432406,0.040927302,0.019524377,0.041583322,0.045754727,0.060607515,0.062592305,0.061549,0.06075728,0.057567723,0.057040777,0.02148214,0.02026842,0.0461828,0.053655762,0.05611247,0.053326577,0.054981764,0.05423059,0.054182038,0.0496659,0.039049827,0.028804054,0.02568277,0.025901143,0.020286025,0.016843557,0.024278037,0.018556898,0.017432105,0.02227259,0.016347822,0.016380506,0.016881084,0.017778596,0.019731302,0.019253194,0.026337748,0.022870474,0.03367779,0.035055596,0.027335888,0.055550493,0.04048476,0.029120583,0.037057757,0.03765158,0.0310012,0.01731893,0.017026471,0.0185983,0.052739024,0.022582017,0.01505491,0.017120067,0.015439203,0.017062705,0.015398677,0.01553616,0.015272471,0.018577745,0.04294442,0.023498004,0.038969655,0.018735116,0.017052354,0.017533386,0.0371266,0.04823636,0.017007729,0.022658959,0.015617311,0.04117385,0.030971773,0.044304527,0.043339632,0.047447585,0.029614542,0.018669037,0.0517142,0.01878379,0.017967552,0.018948467,0.018948467,0.018649694,0.0533103,0.054127276,0.048301794,0.015498459,0.017271066,0.016289469,0.014003053,0.058806732,0.0509154,0.054297876,0.018685026,0.018289315,0.018983139,0.030616028,0.06832109,0.065434225,0.07049065
440.31726,0.08151802,0.02716669,0.0480675,0.075458236,0.01539919,0.020288596,0.019049587,0.017551528,0.021420345,0.021134205,0.024429044,0.021557,0.056527287,0.058606844,0.05202508,0.04915501,0.052677043,0.045226198,0.053217806,0.052851636,0.0536508,0.05073114,0.05406712,0.04155489,0.04656827,0.049402412,0.01337535,0.04930091,0.013574117,0.051101867,0.0130970245,0.049439844,0.053275306,0.055440556,0.05469311,0.023154153,0.017547285,0.045461122,0.046151303,0.04380146,0.040039647,0.020648954,0.040576786,0.046958502,0.06158773,0.06305091,0.06296476,0.06310393,0.05787196,0.057705525,0.022599505,0.021395313,0.0496726,0.057290606,0.05973147,0.056887057,0.058669966,0.057899226,0.057936348,0.053652823,0.040963218,0.030177291,0.026953176,0.027216991,0.021303875,0.01781205,0.025579175,0.019567674,0.018425442,0.023514643,0.01728423,0.01731011,0.01784818,0.01879799,0.020793505,0.02027143,0.02781468,0.024109514,0.035315208,0.03672952,0.028619967,0.05973792,0.042368066,0.030458674,0.0387087,0.039383557,0.032288115,0.01800458,0.017740577,0.01939037,0.05674261,0.02358927,0.015731419,0.017869294,0.016103612,0.017753072,0.016060974,0.0162943,0.01598532,0.019443506,0.045140322,0.024697501,0.040829983,0.019789957,0.018129652,0.018681133,0.03894486,0.049989216,0.01807485,0.02396974,0.016566148,0.04333688,0.032204434,0.046219643,0.04476669,0.049479533,0.030831983,0.019412307,0.053417657,0.01968869,0.01876438,0.019805538,0.019805538,0.019520404,0.05451342,0.0563749,0.050461743,0.016192706,0.018132865,0.017122215,0.014627724,0.061307646,0.05229389,0.056545354,0.01959157,0.019163802,0.019975232,0.03208839,0.0711569,0.068668365,0.07554186
447.7428,0.08669843,0.027778031,0.049692515,0.07837566,0.01618605,0.02140844,0.02005522,0.018519511,0.022565385,0.022227418,0.025581898,0.022618938,0.059749793,0.062103316,0.055369265,0.052553676,0.055978954,0.048898526,0.053389214,0.053356368,0.054235153,0.051111996,0.05356545,0.0425618,0.047141347,0.049913198,0.014114074,0.049597114,0.01433288,0.051553212,0.013836208,0.049435742,0.053585924,0.055594366,0.05465711,0.024362005,0.018521335,0.04554071,0.046267506,0.043279253,0.041113663,0.021671245,0.041280285,0.049006406,0.062334586,0.06519968,0.06296144,0.06449499,0.05894467,0.0582006,0.023667665,0.022451846,0.052986015,0.060727824,0.063173436,0.06026408,0.06216733,0.061384723,0.061516408,0.05744972,0.042762443,0.03146164,0.02813259,0.028435133,0.02224555,0.018707924,0.026810184,0.020493746,0.019339627,0.024673663,0.018143272,0.018162504,0.018739894,0.019727327,0.021768494,0.021203952,0.02919525,0.025271783,0.03685667,0.03831458,0.029846262,0.063746296,0.044145353,0.03171726,0.040265884,0.04102476,0.03351729,0.018628381,0.018379977,0.02012494,0.060571805,0.02453404,0.016337309,0.018552711,0.016695093,0.018366946,0.016635388,0.016969886,0.016618187,0.020236408,0.047201164,0.0258105,0.042588055,0.020756157,0.019119175,0.01973199,0.040661473,0.05231054,0.019044895,0.025189362,0.017434472,0.045369904,0.03337527,0.048007686,0.046584383,0.051402282,0.031985234,0.020108277,0.054971922,0.020556264,0.019517353,0.02061098,0.02061098,0.020349788,0.055905413,0.058528014,0.052508477,0.016843097,0.018953307,0.017916817,0.015189918,0.06369019,0.05441259,0.058686137,0.020440448,0.019984413,0.020885313,0.0335361,0.07508316,0.072101355,0.07910127
