Wavelength (nm),Point 1,Point 2,Point 3,Point 4,Point 5,Point 6,Point 7,Point 8,Point 9,Point 10,Point 11,Point 12,Point 13,Point 14,Point 15,Point 16,Point 17,Point 18,Point 19,Point 20,Point 21,Point 22,Point 23,Point 24,Point 25,Point 26,Point 27,Point 28,Point 29,Point 30,Point 31,Point 32,Point 33,Point 34,Point 35,Point 36,Point 37,Point 38,Point 39,Point 40,Point 41,Point 42,Point 43,Point 44,Point 45,Point 46,Point 47,Point 48,Point 49,Point 50,Point 51,Point 52,Point 53,Point 54,Point 55,Point 56,Point 57,Point 58,Point 59,Point 60,Point 61,Point 62,Point 63,Point 64,Point 65,Point 66,Point 67,Point 68,Point 69,Point 70,Point 71,Point 72,Point 73,Point 74,Point 75,Point 76,Point 77,Point 78,Point 79,Point 80,Point 81,Point 82,Point 83,Point 84,Point 85,Point 86,Point 87,Point 88,Point 89,Point 90,Point 91,Point 92,Point 93,Point 94,Point 95,Point 96,Point 97,Point 98,Point 99,Point 100,Point 101,Point 102,Point 103,Point 104,Point 105,Point 106,Point 107,Point 108,Point 109,Point 110,Point 111,Point 112,Point 113,Point 114,Point 115,Point 116,Point 117,Point 118,Point 119,Point 120,Point 121,Point 122,Point 123,Point 124,Point 125,Point 126,Point 127,Point 128,Point 129,Point 130,Point 131,Point 132,Point 133,Point 134,Point 135,Point 136,Point 137,Point 138,Point 139,Point 140,Point 141,Point 142,Point 143,Point 144,Point 145,Point 146,Point 147,Point 148,Point 149,Point 150,Point 151,Point 152,Point 153,Point 154,Point 155,Point 156,Point 157,Point 158,Point 159,Point 160,Point 161,Point 162,Point 163,Point 164,Point 165,Point 166,Point 167,Point 168,Point 169,Point 170,Point 171,Point 172,Point 173,Point 174,Point 175,Point 176,Point 177,Point 178,Point 179,Point 180,Point 181,Point 182,Point 183,Point 184,Point 185,Point 186,Point 187,Point 188,Point 189,Point 190,Point 191,Point 192,Point 193,Point 194,Point 195
381.00558,0.027740471,0.03016031,0.039802756,0.03706054,0.020300634,0.018705647,0.025399735,0.048697304,0.030434448,0.022308758,0.030447364,0.031462904,0.028179074,0.02651364,0.0146656735,0.015417898,0.017931607,0.021586237,0.024069339,0.024431724,0.03488428,0.015026773,0.01603462,0.024051571,0.032551758,0.02068769,0.016271936,0.0242851,0.034699414,0.03138199,0.02767447,0.02280764,0.018586926,0.017468285,0.03760281,0.025048893,0.03326638,0.03207873,0.029365312,0.02904681,0.033560373,0.04108553,0.027377237,0.028425472,0.029381428,0.026854409,0.027260704,0.036512643,0.030849999,0.021313831,0.024186095,0.030713955,0.03883971,0.037218597,0.028297585,0.026311062,0.025029067,0.017622543,0.041577235,0.034843966,0.023533402,0.022281103,0.031986196,0.025531247,0.018576497,0.019285202,0.018398436,0.01817565,0.028229006,0.024975337,0.030550973,0.02347972,0.022457497,0.032434594,0.030230852,0.02348199,0.021145197,0.024888458,0.023261655,0.030335937,0.029757557,0.020725608,0.019513868,0.029688777,0.026360763,0.02964305,0.024387956,0.023994759,0.034363255,0.030399714,0.026691223,0.034558773,0.03234078,0.0148087,0.033823114,0.023124319,0.021123515,0.030478587,0.025419801,0.024375053,0.03234984,0.03878576,0.03794733,0.04020858,0.041635018,0.030852787,0.027878154,0.030891731,0.03293339,0.027320754,0.02986283,0.024716757,0.037021708,0.03222582,0.037184097,0.030076189,0.04168422,0.0303425,0.035966605,0.03684453,0.03177532,0.030774867,0.027654458,0.031510286,0.044233084,0.040269155,0.022222763,0.035628483,0.030401656,0.024054904,0.039840914,0.03650133,0.023833996,0.01943188,0.027361503,0.03271544,0.01772705,0.049861107,0.027557235,0.033671856,0.022123987,0.022754392,0.023517251,0.019932274,0.02837412,0.037100174,0.022210106,0.03727425,0.030450964,0.018899797,0.029520927,0.03107384,0.025267703,0.020634172,0.026588451,0.02876763,0.02529289,0.019741522,0.046603158,0.028004471,0.02858081,0.034744605,0.020536035,0.020688742,0.020544443,0.024231277,0.02637745,0.022366198,0.024340611,0.029780732,0.018705389,0.033788253,0.02900744,0.027944468,0.02373158,0.044130076,0.025160952,0.020987436,0.027703414,0.024640182,0.025171602,0.024652014,0.037021782,0.03979797,0.021363411,0.028507251,0.03577527,0.046862066,0.024711218,0.029674288,0.030751396,0.031640064,0.02648559,0.025582798,0.024596572
388.4092,0.029706977,0.032217365,0.047504913,0.043609593,0.020860264,0.019005595,0.026157254,0.056929186,0.036706164,0.022415327,0.031881813,0.033137053,0.028879428,0.027080473,0.015152091,0.016096931,0.018594785,0.022262514,0.024314506,0.024761166,0.039084423,0.015123257,0.02080209,0.025602542,0.039198574,0.021178612,0.016585179,0.025302099,0.03639501,0.03742219,0.028629698,0.023810722,0.018788815,0.017755445,0.044034768,0.025597826,0.040236723,0.035268076,0.03016953,0.030004635,0.035424117,0.04651703,0.027797054,0.029578287,0.035155352,0.027205538,0.028685497,0.040492114,0.03199048,0.021803599,0.024719605,0.032044243,0.04042571,0.04113413,0.031298902,0.027195362,0.02576794,0.017944688,0.045854013,0.038696796,0.024648704,0.028480653,0.035337918,0.026667517,0.019317165,0.019701662,0.018464845,0.018571962,0.029119553,0.02577488,0.03697872,0.02366898,0.023342181,0.033536356,0.031209359,0.02403773,0.02177702,0.025683047,0.023961732,0.031932175,0.031152721,0.021479614,0.023110513,0.035171106,0.026556212,0.030330688,0.024973262,0.02465944,0.034966953,0.03174904,0.027107753,0.035566352,0.034395576,0.021435905,0.03521604,0.026792064,0.021637252,0.031167492,0.025957296,0.028162213,0.03344309,0.041796714,0.0399349,0.04485819,0.043686967,0.034602694,0.028523643,0.03551399,0.033646885,0.02834061,0.030703375,0.025368975,0.038638443,0.033070166,0.038678713,0.030884303,0.04440361,0.030939367,0.037454836,0.038581133,0.032831755,0.03487553,0.027934147,0.032251436,0.04764847,0.043594807,0.022555375,0.036958374,0.032149274,0.025085334,0.042581506,0.037469376,0.024227489,0.019643985,0.027967997,0.033392977,0.017926602,0.054055933,0.028298484,0.035505448,0.022627635,0.023081034,0.02374389,0.020200437,0.029136378,0.038741723,0.022887807,0.039032444,0.031152403,0.019241191,0.0298205,0.031090466,0.026462307,0.021138439,0.027611349,0.029946236,0.02614805,0.020356199,0.051343262,0.029457042,0.029508421,0.03776827,0.020592341,0.020765403,0.020723546,0.02503655,0.02701903,0.022403236,0.024795981,0.03049551,0.01892826,0.03505722,0.029361218,0.0287424,0.02397446,0.048798338,0.025427911,0.021225136,0.028534392,0.025067734,0.025343865,0.024729542,0.038461167,0.044565,0.021335397,0.029372206,0.0375944,0.048967265,0.024882142,0.03046422,0.03164337,0.031851947,0.026875975,0.025910202,0.024418598
395.81583,0.031669628,0.034278702,0.053940374,0.050517447,0.021427527,0.019292006,0.026928328,0.063603245,0.042640757,0.022515202,0.033323526,0.034812473,0.029580079,0.02765511,0.015632879,0.016774297,0.019259613,0.022946347,0.024570419,0.025100062,0.048424907,0.015226947,0.027072364,0.027157135,0.046532854,0.021677522,0.016902352,0.026317628,0.038104787,0.043416522,0.029601887,0.024822585,0.01899579,0.018055975,0.050290488,0.026158215,0.049017828,0.04077337,0.030979643,0.030958982,0.037281916,0.052900262,0.028228598,0.030742377,0.04136417,0.027556242,0.03011239,0.047558036,0.033151563,0.022299081,0.025268665,0.03339962,0.04203458,0.04562558,0.036276188,0.028092494,0.026519401,0.018266795,0.05336722,0.04495866,0.025779301,0.032656476,0.040276702,0.02781785,0.020061092,0.020130346,0.01853261,0.018977968,0.030017382,0.026573198,0.043558102,0.023855306,0.024222996,0.034652516,0.032193445,0.024596678,0.022410307,0.026474236,0.024661973,0.033537958,0.032556966,0.022245545,0.028235575,0.040536862,0.02676831,0.031029025,0.02557291,0.02533078,0.035578582,0.033109598,0.027528996,0.03657937,0.03644785,0.026305042,0.036608864,0.031835977,0.022165336,0.031862278,0.026494235,0.03170038,0.034550942,0.048212163,0.041935377,0.0495804,0.048042744,0.03883914,0.029179752,0.040963154,0.034365315,0.029375348,0.031542264,0.0260284,0.040263195,0.033919353,0.040191453,0.031697776,0.048043367,0.031556405,0.038947877,0.040335096,0.033893783,0.038348448,0.028232662,0.033001427,0.052817263,0.0465798,0.022900721,0.03828562,0.034898642,0.026128957,0.045687146,0.03844174,0.02462502,0.01985967,0.028589983,0.03407461,0.018135529,0.05829027,0.029049197,0.037345473,0.02314208,0.023413304,0.02398806,0.020476568,0.029913858,0.04039734,0.023570545,0.040806234,0.03187008,0.019585425,0.030133706,0.031120565,0.027660625,0.021648536,0.028636722,0.031136151,0.027006553,0.020972218,0.056552954,0.030910619,0.030450929,0.044836376,0.02065678,0.020841915,0.020913627,0.02584452,0.027663665,0.022443095,0.02525522,0.031216731,0.01915289,0.03633672,0.029723996,0.029550582,0.024217652,0.05593563,0.02569402,0.021466821,0.029377604,0.025492448,0.025531413,0.024804542,0.039922897,0.04853078,0.02131131,0.030250993,0.039425854,0.05367241,0.025061544,0.031264972,0.032545526,0.03207061,0.027266623,0.026252098,0.024262276
403.2254,0.033638973,0.036338888,0.059896484,0.055969156,0.02199398,0.019595968,0.027694305,0.070547074,0.048463233,0.02262117,0.034769382,0.036492005,0.03028144,0.028232224,0.016123904,0.017454596,0.019927602,0.023638029,0.024823062,0.025437228,0.054338403,0.015331349,0.031254556,0.028716275,0.052136246,0.022177747,0.017219922,0.027339192,0.039814547,0.047684513,0.03056039,0.025830416,0.019201726,0.018348966,0.05606436,0.026715837,0.0550571,0.044469208,0.03178876,0.031915348,0.039146785,0.05841063,0.028658373,0.031897753,0.046093404,0.027918207,0.031541113,0.05206469,0.034306552,0.022797065,0.025799066,0.034749657,0.04363573,0.05084623,0.03894814,0.028994111,0.027267408,0.018593071,0.058979314,0.048900805,0.026891466,0.036903795,0.04556099,0.02896625,0.02080314,0.020551622,0.018601278,0.019377796,0.030910518,0.027381439,0.04866068,0.024051089,0.025107643,0.035772715,0.03317713,0.02515844,0.023038818,0.027266242,0.02536608,0.035141237,0.03395893,0.02301269,0.03225376,0.043291945,0.026974276,0.031730257,0.02615929,0.02599678,0.0361881,0.034473136,0.027948566,0.037591998,0.038506936,0.029105576,0.03800747,0.03522427,0.022697503,0.032557864,0.027041974,0.035074003,0.035654742,0.052296225,0.043940052,0.053759538,0.0534618,0.043682195,0.029830229,0.044597343,0.03508372,0.030399142,0.032393284,0.026682202,0.041893028,0.0347855,0.041699972,0.032517623,0.052724212,0.03216767,0.04044008,0.04207848,0.03495527,0.042828295,0.028522102,0.033755247,0.057082262,0.050979733,0.023245763,0.03962237,0.038588118,0.027170857,0.04974848,0.03941566,0.02502982,0.020082122,0.029215965,0.034759637,0.018337648,0.062723175,0.029810414,0.039190706,0.023669668,0.023759278,0.024240563,0.02076458,0.030693438,0.042058147,0.02426034,0.042593844,0.03258364,0.019936232,0.030445212,0.031143999,0.028865166,0.022164954,0.029673807,0.032324087,0.027862448,0.021608878,0.0632058,0.0323801,0.031392105,0.052299418,0.020736577,0.02092828,0.021108603,0.026656719,0.028321119,0.022486739,0.025724465,0.031943515,0.019388493,0.03761756,0.030087624,0.03036399,0.024467178,0.060808726,0.02597951,0.02172023,0.030225774,0.025922421,0.025707042,0.02489416,0.04138055,0.054129235,0.02130166,0.031135364,0.041264266,0.060309872,0.025249531,0.03207079,0.0334636,0.03229502,0.027670592,0.026603548,0.024114871
410.638,0.0358333,0.038648613,0.06703356,0.06302267,0.022914894,0.020309975,0.028882535,0.077937506,0.054517318,0.023130624,0.036631,0.038505778,0.03142404,0.029207049,0.01680835,0.018322533,0.020876067,0.0247417,0.025521114,0.026205836,0.061951052,0.015848348,0.038460225,0.030551938,0.058794238,0.023055626,0.017896421,0.02866525,0.04197208,0.05521976,0.031938605,0.027165994,0.019787801,0.018969066,0.062906615,0.027636137,0.062746935,0.04882205,0.03292899,0.033179987,0.041243948,0.0668301,0.02958156,0.0333624,0.05251667,0.028679527,0.033233456,0.05774141,0.03581193,0.023636283,0.026686901,0.036435567,0.045688458,0.056380652,0.043999527,0.030199189,0.02830587,0.019257799,0.06590898,0.055353414,0.028342953,0.04304305,0.05104921,0.030376874,0.021825189,0.021308582,0.019042209,0.020103702,0.03220688,0.028533354,0.054510463,0.02469197,0.026258819,0.037265804,0.034523323,0.02605495,0.024043258,0.028406333,0.026438784,0.037057392,0.035704922,0.024079291,0.036842555,0.04869168,0.02760019,0.032792356,0.027224097,0.027027475,0.03732219,0.03612425,0.028744977,0.039054967,0.040799107,0.035434455,0.03970692,0.040140867,0.023580762,0.03364202,0.02792905,0.039205138,0.03704389,0.056604914,0.04629174,0.05816068,0.058120243,0.04840411,0.030844385,0.047875293,0.03618686,0.0316816,0.033620518,0.027630419,0.043917794,0.036026828,0.04361741,0.03374683,0.056886066,0.033153623,0.042297103,0.044214707,0.0364609,0.04769021,0.029243715,0.034926094,0.06211136,0.056390777,0.023967264,0.041271456,0.042627893,0.02851907,0.053094108,0.040863138,0.025839774,0.0206892,0.030271964,0.035900064,0.018905647,0.06772109,0.030988824,0.041375395,0.024576213,0.024443088,0.024945017,0.02143816,0.031879827,0.04414302,0.02526098,0.0448053,0.03375466,0.020659748,0.031216487,0.031636436,0.030405048,0.0230736,0.031057224,0.033934947,0.029090118,0.022523236,0.07085597,0.03414379,0.032702867,0.058503594,0.021230115,0.021383792,0.021707758,0.027773952,0.029329691,0.022927923,0.026559522,0.03309077,0.020011678,0.039240394,0.03085396,0.031548686,0.025144894,0.067391686,0.026732748,0.022344356,0.03142811,0.026753407,0.026306184,0.025467647,0.04322618,0.058700442,0.021718245,0.032291375,0.043334235,0.06509389,0.025851458,0.033261888,0.03476482,0.032988686,0.02850646,0.027388273,0.02446931
418.0536,0.038244415,0.04121349,0.07092889,0.067911625,0.024133833,0.021334313,0.030407455,0.08501902,0.059182428,0.023967734,0.038812477,0.04078605,0.0329506,0.03050675,0.017685713,0.019367373,0.022077078,0.026139092,0.026568107,0.027308736,0.07013398,0.016697308,0.043245662,0.032594927,0.064382926,0.024262354,0.018876102,0.03024041,0.044555735,0.05911595,0.033675306,0.028803779,0.020682156,0.019861897,0.068453714,0.028866885,0.06852583,0.05216869,0.034351066,0.034723174,0.0436044,0.072116934,0.030931076,0.03504351,0.058726676,0.029757593,0.035131577,0.06376963,0.0375515,0.024776155,0.027887562,0.038378954,0.048169058,0.061532225,0.04679706,0.031644974,0.029584253,0.02021852,0.07202232,0.06113415,0.030052204,0.048249215,0.05532235,0.032045763,0.023066534,0.022329671,0.01981189,0.021081088,0.03383466,0.02992268,0.05990023,0.025699144,0.02762013,0.039076842,0.036181502,0.027250053,0.02532515,0.029790543,0.027781583,0.039221577,0.037740458,0.025397833,0.040567163,0.05315721,0.028559234,0.034146275,0.028613541,0.028361548,0.038932055,0.037964575,0.0298868,0.040978275,0.043405592,0.040840548,0.041672107,0.04253206,0.02476103,0.03505188,0.029108621,0.04222661,0.038721822,0.06174715,0.048980884,0.06389629,0.062079147,0.051761426,0.032176025,0.05268148,0.037642967,0.03317031,0.035153136,0.028833745,0.04625051,0.037611276,0.04587808,0.03530149,0.062062263,0.03448304,0.04443348,0.046625502,0.03833905,0.052324556,0.030318592,0.036444563,0.06696919,0.061297126,0.024998037,0.043247577,0.045207635,0.03012905,0.057066068,0.042730298,0.02698698,0.021635905,0.031672597,0.03740607,0.01975728,0.073069364,0.03252818,0.043832887,0.025777292,0.025437348,0.026029708,0.022444148,0.033413988,0.046572443,0.026510485,0.047357127,0.035321347,0.021678701,0.032363925,0.032524604,0.032283153,0.024300408,0.032745436,0.035921287,0.030632583,0.02368218,0.07736328,0.036176816,0.034307905,0.0648222,0.022082848,0.022173095,0.02259764,0.029155573,0.03063547,0.023699027,0.027706621,0.034602333,0.020921089,0.041139506,0.03195611,0.03305767,0.02618519,0.07136074,0.02788086,0.023273751,0.032937784,0.027929857,0.027270583,0.026416194,0.045410965,0.0645828,0.0224797,0.03372598,0.045625415,0.07098536,0.026777769,0.034741517,0.03636006,0.034073103,0.029685317,0.02851998,0.025245475
425.47214,0.04073014,0.043906454,0.07577536,0.072604395,0.02553489,0.022546891,0.03206078,0.090310484,0.06461852,0.024978593,0.04114128,0.043154042,0.03469813,0.031969383,0.018684044,0.020484367,0.023418998,0.027673215,0.027831523,0.02862925,0.07617258,0.017726246,0.04734659,0.03469022,0.06895694,0.025629364,0.020065812,0.031960413,0.047415107,0.06298131,0.035606936,0.030628124,0.021763861,0.020916795,0.072924405,0.030256853,0.072804056,0.05595252,0.035913546,0.036429364,0.0461842,0.0761025,0.032518066,0.036852743,0.06362819,0.03100154,0.037142225,0.06772928,0.039402567,0.026097009,0.029276496,0.040442146,0.05090609,0.06542017,0.04965089,0.033176154,0.03098485,0.021340953,0.0769964,0.06495881,0.031888533,0.050958164,0.057957705,0.033878442,0.024407892,0.02348446,0.02077383,0.022160089,0.035660114,0.031390548,0.06261549,0.026921125,0.029064758,0.041050803,0.038023986,0.028604347,0.026733594,0.031275403,0.029233376,0.041456204,0.039916184,0.026865697,0.043752342,0.055512764,0.029699093,0.035678625,0.030113379,0.029859865,0.04081354,0.039844636,0.031245206,0.043157727,0.046277184,0.043726414,0.04373677,0.0454072,0.026088368,0.036640223,0.030415429,0.044183843,0.040569894,0.06331364,0.05183387,0.06774935,0.065881185,0.054584548,0.033707347,0.055761594,0.03927903,0.03471232,0.03682538,0.030164663,0.048723854,0.03937257,0.048274986,0.03701703,0.06513252,0.035990927,0.046662,0.049140736,0.040408876,0.055706274,0.031561207,0.03812578,0.0704462,0.064697936,0.026180675,0.045399997,0.047433026,0.031858638,0.05974034,0.044823807,0.028312657,0.022789674,0.03324356,0.03910962,0.020751124,0.07646588,0.03426583,0.046404634,0.02710579,0.02658963,0.027313638,0.023607153,0.035117663,0.049143266,0.027867693,0.05005276,0.037072286,0.022839801,0.033655476,0.033615995,0.034348227,0.02569185,0.034566697,0.03808649,0.032346338,0.024947071,0.08333922,0.038320296,0.036042273,0.06974446,0.023107925,0.023134645,0.023630949,0.030646324,0.032093875,0.024674375,0.029016875,0.036325045,0.021951737,0.043164298,0.033216257,0.034765564,0.027386462,0.07749066,0.029212998,0.024318434,0.034572642,0.029291404,0.028439114,0.027553122,0.047734436,0.068104394,0.023468655,0.03529896,0.048047304,0.075972855,0.027884519,0.036361914,0.038114887,0.035387915,0.031003429,0.02979628,0.026296213
432.8927,0.043224778,0.046659503,0.07873673,0.07570293,0.026978366,0.023759395,0.03368258,0.09418344,0.06739412,0.026027223,0.043408774,0.04546891,0.03647165,0.033460546,0.0197135,0.021597838,0.024773484,0.029157784,0.029139102,0.029978245,0.082691535,0.018768193,0.04960024,0.036698114,0.073429435,0.026996177,0.021315427,0.033686414,0.050374385,0.066221446,0.037559178,0.032492314,0.022870617,0.022023357,0.07650368,0.031684972,0.076235585,0.05780532,0.03750896,0.03819866,0.048920408,0.08017722,0.034157395,0.038654547,0.06633142,0.032285478,0.039166115,0.06988177,0.04118548,0.027463937,0.030740876,0.042486884,0.053739406,0.067071676,0.049269672,0.03465656,0.032411236,0.022524089,0.08091356,0.06734829,0.03370996,0.05359086,0.058891494,0.035755884,0.025721213,0.024638325,0.021808902,0.023222711,0.037493587,0.032787938,0.06588441,0.028192531,0.030527515,0.043043528,0.039916806,0.02998722,0.028103707,0.03269967,0.030621203,0.043621503,0.04210625,0.028361876,0.045027666,0.056459174,0.030853499,0.037253536,0.031526938,0.03137888,0.042768817,0.041648332,0.032679588,0.045433003,0.04938051,0.045796536,0.045812193,0.046868384,0.027423779,0.038262002,0.031713963,0.044562697,0.042546604,0.06667089,0.054738685,0.06984657,0.06714871,0.05514171,0.03529688,0.056075808,0.040946595,0.036232032,0.03849042,0.031503055,0.0511593,0.04117485,0.05068975,0.038718104,0.067561194,0.037560068,0.04888325,0.051596634,0.042496346,0.057998307,0.03282418,0.039824538,0.071946,0.066314735,0.02735198,0.04767291,0.0482709,0.03355629,0.061224125,0.046994027,0.029661052,0.023964254,0.034840174,0.040840566,0.02173382,0.07791775,0.03601844,0.048977233,0.028370254,0.027760629,0.028601736,0.024762714,0.03682536,0.051674396,0.029196592,0.052672476,0.038802125,0.023986945,0.03494939,0.034735326,0.036493786,0.027070668,0.03640294,0.040233955,0.034076042,0.026205927,0.08660465,0.04047177,0.03778025,0.07366098,0.024134373,0.02411711,0.024656245,0.03212974,0.03353975,0.025698554,0.030339325,0.03809199,0.022958625,0.0451862,0.034509458,0.036491387,0.028560821,0.08023511,0.03050415,0.02535443,0.036206216,0.030676113,0.02964695,0.02871233,0.05005965,0.07076824,0.024494486,0.036923576,0.050528463,0.07809504,0.028992362,0.037915237,0.039873566,0.036735386,0.032267656,0.031023838,0.0273986
440.31726,0.045453973,0.049130358,0.08118567,0.07974233,0.028220937,0.024798088,0.03500555,0.09885994,0.07073236,0.026891531,0.045302026,0.047438733,0.03795152,0.034697138,0.020631932,0.022595586,0.025956318,0.030392444,0.03023639,0.031129163,0.088634245,0.019660793,0.05282523,0.03840899,0.077445455,0.028180102,0.022382848,0.035175703,0.052983783,0.06944116,0.03924975,0.034133445,0.023814002,0.022995448,0.0805343,0.032916136,0.08088558,0.059652645,0.03888324,0.0397347,0.05147089,0.08394653,0.035554856,0.040184915,0.07078079,0.033326365,0.04093278,0.07369539,0.042674806,0.028667185,0.032007452,0.044251032,0.056273844,0.070515215,0.051711548,0.035877734,0.03362621,0.023553437,0.08613377,0.070871115,0.035294537,0.055836417,0.0621547,0.037444152,0.026858386,0.025624538,0.022679193,0.024120834,0.03906273,0.033948857,0.06836625,0.029252974,0.031768266,0.04475071,0.04156998,0.031172147,0.029252788,0.03389722,0.031765405,0.045467533,0.04401018,0.029675402,0.04701265,0.05864354,0.031808235,0.03859416,0.03266312,0.032679968,0.044471454,0.04316021,0.033921596,0.047454137,0.05237347,0.049077727,0.04759731,0.048610214,0.028566906,0.03963587,0.032773346,0.045415383,0.044376563,0.06942825,0.05728541,0.074432924,0.069389895,0.05735081,0.036661502,0.059015647,0.042379297,0.037503917,0.039868608,0.032645825,0.05325543,0.04269717,0.052761335,0.040159624,0.06946587,0.038929943,0.050757445,0.05364899,0.044286884,0.060266413,0.033864357,0.041236997,0.07569908,0.06962558,0.028321534,0.04969848,0.050719306,0.035016347,0.063344836,0.04887834,0.030803684,0.024996132,0.036169562,0.042279262,0.02256002,0.08069582,0.037515145,0.051230732,0.0294029,0.028773582,0.029681075,0.025735142,0.038281713,0.05383168,0.0303381,0.054889865,0.040228322,0.024937538,0.035998154,0.035651527,0.038434256,0.02825339,0.03799927,0.04208658,0.035610303,0.02728879,0.09191909,0.042354707,0.03927165,0.078300245,0.025012156,0.02495908,0.025478669,0.03344324,0.03475969,0.026562817,0.0314808,0.03961867,0.023787176,0.046919808,0.035594825,0.038005702,0.029518574,0.0856793,0.031582322,0.026219072,0.037613645,0.031853348,0.030676084,0.02967191,0.052085683,0.07465056,0.02536514,0.03838895,0.052769583,0.08280282,0.029897163,0.03920819,0.041365445,0.03784053,0.033314362,0.03201318,0.02826788
447.7428,0.0475392,0.051457506,0.0852744,0.08349112,0.029454822,0.025810637,0.036324184,0.10345129,0.074664325,0.02776194,0.047125515,0.049297895,0.039388746,0.035923123,0.021561453,0.023601918,0.0271373,0.031592984,0.031344216,0.03225893,0.094917566,0.020567765,0.056253407,0.040048033,0.082006216,0.029337103,0.023476882,0.03662318,0.055469695,0.07302671,0.040891886,0.035724185,0.02476952,0.023980567,0.085052565,0.034122672,0.084720895,0.061643105,0.04026485,0.04125673,0.053928673,0.08780744,0.036929894,0.04169303,0.07463777,0.034371957,0.04262058,0.0776511,0.044107184,0.029860148,0.03325061,0.045930848,0.058702927,0.073713,0.052603148,0.037057173,0.034825176,0.02459298,0.08965717,0.07416262,0.03680013,0.057984423,0.06510741,0.03910546,0.027971877,0.026583279,0.023580652,0.025003329,0.040579777,0.0350846,0.07102066,0.03034538,0.032998055,0.046415165,0.043182157,0.032366015,0.030383043,0.03505685,0.03288586,0.04720052,0.04585876,0.030950924,0.048108805,0.061083384,0.032776624,0.039932337,0.03377214,0.033968635,0.046142537,0.044597074,0.03515405,0.049414374,0.055315837,0.051550616,0.04930001,0.050561544,0.029691018,0.0410163,0.03383728,0.047148954,0.046207312,0.071742445,0.059690118,0.07641525,0.07242629,0.059599917,0.038021605,0.061955992,0.043784842,0.038761217,0.04123827,0.033791117,0.05523681,0.044199377,0.054745026,0.04156296,0.072520256,0.040298693,0.052561518,0.055573694,0.046030883,0.063151315,0.034917,0.0426042,0.07876063,0.07297416,0.029291335,0.05168722,0.052239288,0.0364305,0.065091886,0.05070787,0.031935982,0.026042344,0.03749547,0.043709133,0.02340492,0.08355217,0.038972013,0.053381786,0.030416125,0.029800676,0.030773152,0.026725788,0.039707053,0.05588954,0.031493235,0.056972582,0.041656163,0.025893843,0.037060093,0.03659976,0.040329,0.02943773,0.03956887,0.04386934,0.037107855,0.028396646,0.096790366,0.04415706,0.040729534,0.08269695,0.025904737,0.025819719,0.026332587,0.034773048,0.035985846,0.027479801,0.032621346,0.04110937,0.024627095,0.04859848,0.036700096,0.03951793,0.030501837,0.08846915,0.032716688,0.027102448,0.038978294,0.03304166,0.031734932,0.030626435,0.054049514,0.07868438,0.026245138,0.039863557,0.05496312,0.08612322,0.030842818,0.04048969,0.04284892,0.038951945,0.03435245,0.033013884,0.029187292
