Wavelength (nm),Point 1,Point 2,Point 3,Point 4,Point 5,Point 6,Point 7,Point 8,Point 9,Point 10,Point 11,Point 12,Point 13,Point 14,Point 15,Point 16,Point 17,Point 18,Point 19,Point 20,Point 21,Point 22,Point 23,Point 24,Point 25,Point 26,Point 27,Point 28,Point 29,Point 30,Point 31,Point 32,Point 33,Point 34,Point 35,Point 36,Point 37,Point 38,Point 39,Point 40,Point 41,Point 42,Point 43,Point 44,Point 45,Point 46,Point 47,Point 48,Point 49,Point 50,Point 51,Point 52,Point 53,Point 54,Point 55,Point 56,Point 57,Point 58,Point 59,Point 60,Point 61,Point 62,Point 63,Point 64,Point 65,Point 66,Point 67,Point 68,Point 69,Point 70,Point 71,Point 72,Point 73,Point 74,Point 75,Point 76,Point 77,Point 78,Point 79,Point 80,Point 81,Point 82,Point 83,Point 84,Point 85,Point 86,Point 87,Point 88,Point 89,Point 90,Point 91,Point 92,Point 93,Point 94,Point 95,Point 96,Point 97,Point 98,Point 99,Point 100,Point 101,Point 102,Point 103,Point 104,Point 105,Point 106,Point 107,Point 108,Point 109,Point 110,Point 111,Point 112,Point 113,Point 114,Point 115,Point 116,Point 117,Point 118,Point 119,Point 120,Point 121,Point 122,Point 123,Point 124,Point 125,Point 126,Point 127,Point 128,Point 129,Point 130,Point 131,Point 132,Point 133,Point 134,Point 135,Point 136,Point 137,Point 138,Point 139,Point 140,Point 141,Point 142,Point 143,Point 144,Point 145,Point 146,Point 147,Point 148,Point 149,Point 150,Point 151,Point 152,Point 153,Point 154,Point 155,Point 156,Point 157,Point 158,Point 159,Point 160,Point 161,Point 162,Point 163,Point 164,Point 165,Point 166,Point 167,Point 168,Point 169,Point 170,Point 171,Point 172,Point 173,Point 174,Point 175,Point 176,Point 177,Point 178,Point 179,Point 180,Point 181,Point 182,Point 183,Point 184,Point 185,Point 186,Point 187,Point 188,Point 189,Point 190,Point 191,Point 192,Point 193,Point 194,Point 195
381.00558,0.029722339,0.020754738,0.036797326,0.039678365,0.016301027,0.01419858,0.02694492,0.028771235,0.03608498,0.016100891,0.026852453,0.031510875,0.0346533,0.018372696,0.015097576,0.017186835,0.022387335,0.020347435,0.018371431,0.018486956,0.03275589,0.01316289,0.030216955,0.019304337,0.027865743,0.015126379,0.017931206,0.025065083,0.035241663,0.035928164,0.01718012,0.023953995,0.014954224,0.015760688,0.025218826,0.01621328,0.020830907,0.035703268,0.023167612,0.026423894,0.02612287,0.031261154,0.018122744,0.02383317,0.029244678,0.017585147,0.037467863,0.028837798,0.029361306,0.020419555,0.021785786,0.03262987,0.02137247,0.03609865,0.028830593,0.018381108,0.01986412,0.016277188,0.031937793,0.032593675,0.016127931,0.02531409,0.03379728,0.021930415,0.015334438,0.015862163,0.013748493,0.013025701,0.024039567,0.020272246,0.03290071,0.01677077,0.02259905,0.028691921,0.028238477,0.019896304,0.017588278,0.025386307,0.025104089,0.032305337,0.022386279,0.036282953,0.026010195,0.038150854,0.015220335,0.022651302,0.025916878,0.019597504,0.015944568,0.024660932,0.023321524,0.019932227,0.03311408,0.019795105,0.030812377,0.030441463,0.01731848,0.030104922,0.02287523,0.034916546,0.023779763,0.035757903,0.021299897,0.031096013,0.0365585,0.030766439,0.024560492,0.03349557,0.022141257,0.028097188,0.016067693,0.024943704,0.028099583,0.024878604,0.026061725,0.019514246,0.020354878,0.0256398,0.021536786,0.03017888,0.021062085,0.034317832,0.017930735,0.024866918,0.045437165,0.03316018,0.016650882,0.03165751,0.026022146,0.02122218,0.027815739,0.025157664,0.021495834,0.024218952,0.020144794,0.023215665,0.011634156,0.05971553,0.026903579,0.022464775,0.022889772,0.01849416,0.026704995,0.016209424,0.0227211,0.029008526,0.015522514,0.029171381,0.022911767,0.016396483,0.023034822,0.029508939,0.018949527,0.020885665,0.018823404,0.033529732,0.023929229,0.01710634,0.041335903,0.014634996,0.019241909,0.034702186,0.018552486,0.019776722,0.015964683,0.019878335,0.030024802,0.02164134,0.018869387,0.03505,0.014038251,0.02385523,0.03220115,0.01991028,0.019350767,0.03904814,0.029082704,0.021584652,0.027425958,0.041139275,0.028304879,0.02426507,0.027318224,0.038263977,0.020138288,0.019364603,0.025160793,0.03759892,0.0180529,0.024976632,0.024570057,0.027744558,0.015885396,0.016263781,0.016257731
388.4092,0.031596933,0.021767009,0.043133345,0.042860765,0.01656456,0.014545641,0.028205367,0.034227334,0.040476087,0.016633604,0.028075423,0.03277195,0.036806494,0.018805388,0.015263723,0.017807787,0.022876272,0.020999074,0.018571721,0.018732475,0.03759227,0.013318302,0.03176134,0.020198477,0.033714738,0.01547883,0.018187294,0.025909811,0.037486967,0.038712896,0.017255254,0.024778146,0.015014323,0.015892325,0.03197991,0.016459893,0.025742833,0.037689198,0.023846857,0.027131023,0.027392847,0.038301133,0.018204486,0.024591167,0.034617193,0.017997816,0.038650114,0.036646012,0.030592188,0.020581124,0.02215869,0.034280267,0.022106513,0.043553654,0.029123003,0.01965238,0.020188559,0.016747717,0.03608679,0.03895161,0.016710494,0.026416348,0.039215922,0.022637673,0.015558735,0.016286938,0.01384861,0.013259606,0.02473438,0.02071066,0.03775776,0.016877411,0.023144875,0.030074097,0.029453238,0.020374242,0.018262537,0.026186744,0.02603695,0.033972528,0.023667438,0.038187843,0.02890553,0.04324761,0.015620802,0.023371708,0.0273261,0.020091888,0.016172817,0.02572924,0.023874452,0.02048086,0.034795232,0.020458441,0.03248623,0.035377495,0.017856672,0.031133384,0.023441609,0.040158592,0.0247806,0.04005474,0.026076367,0.037530024,0.039911777,0.0364301,0.025303118,0.036724344,0.023139035,0.028969262,0.016492613,0.025622487,0.029571442,0.025849734,0.027017731,0.020150933,0.02568681,0.026358731,0.022516996,0.03338895,0.02172782,0.036277417,0.018291032,0.025603404,0.049459793,0.034422696,0.017004864,0.032658033,0.027099457,0.021941746,0.033259116,0.025480296,0.021803757,0.02446715,0.020593876,0.023878865,0.011852313,0.06354596,0.027567923,0.023376523,0.023703147,0.018679705,0.02744114,0.016507586,0.023395542,0.03036917,0.015787415,0.03056809,0.024021158,0.0167005,0.023327962,0.029766148,0.01958052,0.021432817,0.019318871,0.035054013,0.024880007,0.017433088,0.04622171,0.014904009,0.019586805,0.039512865,0.018695427,0.020319048,0.016238205,0.02021532,0.032122146,0.02195218,0.019219805,0.03622933,0.014429596,0.024829594,0.033407643,0.02045258,0.019748341,0.044776935,0.02957246,0.021900062,0.028020233,0.04259203,0.028459916,0.024590187,0.028228816,0.042237494,0.02020847,0.020058738,0.026567673,0.041745797,0.018438846,0.026115919,0.0249626,0.027807169,0.016214313,0.016479403,0.016227573
395.81583,0.033480003,0.022782277,0.04941093,0.048052747,0.01683211,0.014900687,0.029473515,0.042093642,0.04902111,0.017176911,0.02930968,0.034032866,0.038963225,0.01924113,0.01542991,0.018433692,0.023372991,0.021657292,0.018778872,0.018978776,0.043225616,0.013472678,0.03331849,0.021099655,0.039514925,0.015828688,0.018443987,0.026758034,0.03974864,0.041501835,0.017332995,0.025612999,0.015080456,0.016027076,0.037041426,0.01671177,0.03405188,0.03967293,0.024528237,0.02783867,0.028675558,0.043832652,0.018283146,0.025346207,0.039298918,0.018414589,0.03983087,0.0437459,0.031821437,0.020743752,0.022535266,0.0359335,0.022842463,0.048122138,0.036593225,0.020929083,0.020519784,0.017230568,0.044063814,0.04325534,0.017298533,0.027518358,0.04501402,0.023347786,0.015780767,0.016717566,0.0139525905,0.013499069,0.025428245,0.021153308,0.042385966,0.01698889,0.023693383,0.031455588,0.030668706,0.020855702,0.018942839,0.026991246,0.026965734,0.035641372,0.024954168,0.040103134,0.034000393,0.04633578,0.016020866,0.024090052,0.028738419,0.020592462,0.016411765,0.026803523,0.024435546,0.021029651,0.036470123,0.021127993,0.034166135,0.041043445,0.018397896,0.03215854,0.024011545,0.044309795,0.025782159,0.04615943,0.02980902,0.046175115,0.0465208,0.03898005,0.026056536,0.04001137,0.024145745,0.029838273,0.01691713,0.026306128,0.031049626,0.026826065,0.027967429,0.020783143,0.031049313,0.027083065,0.023502283,0.040867176,0.02238958,0.03823772,0.018656643,0.02634466,0.05276672,0.035697002,0.01735921,0.033662394,0.028180186,0.022664469,0.03645372,0.025809957,0.022120586,0.024710404,0.02104739,0.024548724,0.012077103,0.07034898,0.028234052,0.024292428,0.024520364,0.018877205,0.028183969,0.016807763,0.024080273,0.031736534,0.016053772,0.031964015,0.025146378,0.017013455,0.023629203,0.030031197,0.020212194,0.021975068,0.019814137,0.036590256,0.025841657,0.017758874,0.05343253,0.01517544,0.01993307,0.046545893,0.01883862,0.020871533,0.016516352,0.02055175,0.034227088,0.022266915,0.01957259,0.037412714,0.014828502,0.025806474,0.03461763,0.020998254,0.020155938,0.050299637,0.030075595,0.022217127,0.02862103,0.044053998,0.028621031,0.024912516,0.029143604,0.049480736,0.020281281,0.020752793,0.027973602,0.049538426,0.018827476,0.027274512,0.025366211,0.027871137,0.016545448,0.016703987,0.016204912
403.2254,0.035365447,0.023800895,0.054741383,0.054441188,0.017093774,0.015253034,0.030744359,0.050741706,0.057591364,0.017714227,0.030543726,0.03529612,0.04112953,0.019676186,0.015602926,0.019061275,0.023872409,0.022310974,0.018988924,0.019229058,0.050478227,0.013633329,0.03486843,0.021999717,0.045329828,0.016176902,0.01870286,0.027606854,0.04200531,0.044296708,0.01741574,0.026443187,0.015140521,0.01616243,0.043035995,0.016966917,0.036159683,0.041663475,0.025206672,0.02855023,0.029960185,0.052440215,0.01837022,0.026103664,0.04780837,0.018828772,0.04101452,0.04853494,0.033054166,0.020911984,0.022914542,0.037586845,0.02358144,0.05389565,0.039066713,0.022205755,0.020848637,0.017706815,0.04866495,0.05044693,0.0178894,0.028625896,0.050348517,0.024055481,0.016004961,0.017146094,0.014056846,0.013738475,0.026126282,0.021597726,0.049035136,0.0171,0.024241073,0.032844607,0.031886674,0.021335615,0.019624911,0.027795866,0.027900051,0.037315022,0.026237233,0.042019617,0.03793459,0.050664965,0.016422527,0.024812594,0.030145176,0.021095242,0.016647529,0.0278778,0.024994155,0.021579938,0.038151342,0.021794278,0.03584314,0.042426422,0.018944286,0.03319158,0.024577972,0.04693257,0.02678559,0.05080965,0.034639195,0.0511069,0.051073037,0.04263319,0.026805997,0.045258135,0.02514936,0.030716157,0.017346429,0.026991261,0.03252653,0.02780604,0.028924083,0.021421574,0.037609346,0.027811226,0.02448751,0.04585421,0.023058511,0.04020273,0.019022169,0.027082069,0.058026172,0.0369664,0.017718421,0.034664363,0.029264288,0.023386627,0.042071987,0.026132852,0.0224375,0.024962056,0.02149693,0.025215466,0.012300064,0.07607579,0.028903488,0.025209656,0.0253419,0.01906784,0.028925417,0.017108928,0.024766417,0.033100843,0.016326359,0.033361446,0.026268154,0.017324345,0.023930566,0.030294653,0.020847792,0.022527367,0.020312002,0.03812232,0.026795782,0.018084,0.059284996,0.015447295,0.020277202,0.05207944,0.018984037,0.021418607,0.01678762,0.02089216,0.036336213,0.022574574,0.019927412,0.038589444,0.015219109,0.026786527,0.03583024,0.021543892,0.020559505,0.05132971,0.030574577,0.022535978,0.029218791,0.045518413,0.028778626,0.025235996,0.030065507,0.055915326,0.020357037,0.021449462,0.02938501,0.055064905,0.019212354,0.028419863,0.025764132,0.027942697,0.016878422,0.016926173,0.016180882
410.638,0.037548758,0.025105782,0.060490523,0.05845838,0.017705113,0.015978184,0.03229269,0.056208443,0.06532001,0.01857862,0.03209939,0.036875065,0.043633647,0.020455126,0.016065665,0.019951524,0.024717312,0.023315925,0.019590499,0.019872297,0.058767814,0.014135066,0.036751807,0.023153428,0.052685075,0.01681333,0.019296022,0.028732426,0.044632524,0.047440637,0.017868653,0.027628075,0.015566082,0.016646525,0.049861807,0.017522085,0.04226104,0.04394807,0.026193174,0.029608734,0.03155164,0.05865569,0.01883592,0.027175939,0.051819116,0.019558,0.042551562,0.05537098,0.034616098,0.02143526,0.02363833,0.03956301,0.02463308,0.060484186,0.042504873,0.023718758,0.021497823,0.018475596,0.056061044,0.057705615,0.01875875,0.03004698,0.055915598,0.025046995,0.01651327,0.017853554,0.014502724,0.014258492,0.027166849,0.02236162,0.056304224,0.017574217,0.025095468,0.034562487,0.033432916,0.022123158,0.020561256,0.028910767,0.029140756,0.03926086,0.02777866,0.044277575,0.04193085,0.0577016,0.017113034,0.025868367,0.031828932,0.021935282,0.017260324,0.0292164,0.025892038,0.022473319,0.040181533,0.022742417,0.037767746,0.047823876,0.019809574,0.034582995,0.025500415,0.051433753,0.02809401,0.055211008,0.040558323,0.060356423,0.055981968,0.04769656,0.027887834,0.049955085,0.026446141,0.03188597,0.018045044,0.027984375,0.034345996,0.029089874,0.030253077,0.022322139,0.04224992,0.028852357,0.025743507,0.051243518,0.02401219,0.042557776,0.019724576,0.02811758,0.064014204,0.038674276,0.018381307,0.036015898,0.030641528,0.024421252,0.047967523,0.026846958,0.02313848,0.025637861,0.022289053,0.026201686,0.012828149,0.08121414,0.029974816,0.026418589,0.026507067,0.01959607,0.030046793,0.017750047,0.025771802,0.03480033,0.016891126,0.035100337,0.027707519,0.017955588,0.024590526,0.030969959,0.021779073,0.023455992,0.021126982,0.039960578,0.028056754,0.018696314,0.06508198,0.016013395,0.02095694,0.05648859,0.019506365,0.022279052,0.017391631,0.021532072,0.038668364,0.02325124,0.02060575,0.040141247,0.015914246,0.02802349,0.037341464,0.022376705,0.021279503,0.0563266,0.031481262,0.023209598,0.030166391,0.047389023,0.029345881,0.025979202,0.031347193,0.06066954,0.020840544,0.022400362,0.03100197,0.06129076,0.019900994,0.029858815,0.026532507,0.028434863,0.017490758,0.017481385,0.016536998
418.0536,0.040024996,0.026718887,0.06607124,0.06447978,0.018603886,0.016975977,0.034135003,0.06293121,0.07087148,0.019693635,0.03398477,0.038762603,0.046413757,0.021546436,0.016808206,0.021095542,0.025894446,0.02461966,0.020531276,0.020850597,0.06484761,0.014891669,0.038947955,0.02454886,0.05998598,0.017692277,0.020194769,0.03013884,0.04765188,0.050933667,0.018645402,0.029167347,0.016303172,0.017433295,0.053883146,0.018352766,0.047205422,0.04652177,0.027471384,0.03101597,0.033466548,0.06417564,0.019616088,0.028553108,0.058971312,0.020569824,0.044492833,0.061621208,0.03648755,0.022314077,0.024693664,0.041828174,0.026020953,0.06649481,0.04664272,0.025432797,0.022454562,0.019513933,0.06121983,0.06271324,0.019894883,0.03172301,0.059635833,0.02631021,0.017274588,0.018808987,0.015221529,0.015018241,0.028503599,0.023407722,0.061289575,0.01836143,0.02620696,0.036579188,0.035292022,0.023201106,0.021743333,0.030296983,0.030643519,0.04145569,0.02956413,0.04683759,0.045237683,0.06317752,0.01805357,0.027235916,0.03378001,0.023090903,0.01817392,0.030773526,0.027134879,0.023663446,0.042579632,0.023966653,0.039933637,0.05145001,0.020959446,0.036320705,0.026742285,0.05574931,0.029680984,0.059524994,0.045312844,0.0666576,0.059632536,0.050959647,0.029271754,0.054057553,0.028011411,0.033322077,0.019013511,0.029257808,0.036434542,0.030652942,0.031904977,0.023484675,0.047053974,0.030197928,0.0272625,0.056004815,0.025248403,0.045268804,0.020709489,0.02946293,0.06915003,0.040839106,0.019313145,0.037721537,0.032316886,0.025744548,0.051408008,0.027909936,0.02417848,0.026669143,0.023369024,0.027481006,0.013583866,0.08565939,0.03137279,0.02788467,0.027969724,0.020415993,0.03149716,0.01868769,0.027069107,0.036794815,0.017727679,0.03713824,0.029434688,0.018876173,0.025574157,0.031998456,0.02299727,0.024679516,0.02225119,0.04210892,0.029609352,0.019568864,0.070151925,0.016844101,0.02192324,0.06320949,0.020354697,0.023426784,0.018271817,0.022460083,0.04132698,0.024230583,0.021590916,0.042060662,0.016824227,0.029522773,0.039158985,0.023499249,0.022287017,0.060339097,0.032784916,0.024183776,0.03143869,0.049606036,0.030295648,0.027082752,0.032982387,0.067023225,0.021670738,0.023581106,0.03284194,0.06730329,0.020871969,0.031533185,0.027626665,0.02932743,0.018338926,0.01829629,0.01721144
425.47214,0.042656034,0.028531728,0.07019252,0.06791319,0.01971385,0.018164564,0.036156777,0.06933597,0.07644424,0.021024762,0.036119636,0.04087425,0.049359575,0.022879768,0.017752832,0.02239974,0.027258702,0.02610514,0.021725453,0.02208525,0.07030711,0.015823396,0.041314553,0.026079025,0.0658799,0.018727101,0.021336228,0.031714723,0.05094403,0.054589354,0.019662092,0.030970477,0.01726628,0.018432185,0.059792183,0.019390449,0.050088637,0.04928044,0.02892531,0.032637578,0.03557949,0.069181904,0.020574337,0.030128585,0.06329975,0.02177767,0.046688307,0.0676168,0.03856177,0.02343747,0.025969056,0.04427916,0.027626082,0.07036248,0.049716566,0.02728592,0.023622612,0.020732688,0.06632755,0.06815575,0.021166744,0.033533953,0.06263289,0.027756508,0.018190961,0.0199175,0.016132383,0.015913393,0.030048402,0.02461335,0.06571208,0.019379964,0.027478846,0.038767084,0.037336074,0.024490789,0.023066405,0.031826563,0.032274276,0.043736584,0.031490184,0.049551547,0.04735774,0.06584654,0.019167943,0.028837247,0.03588351,0.024446705,0.01928038,0.032421485,0.028686477,0.025069758,0.045240577,0.025388023,0.042212557,0.0547893,0.02230786,0.038257625,0.028208552,0.05776745,0.03147726,0.061823547,0.046868086,0.07035508,0.06350349,0.053190038,0.030869527,0.05649798,0.029768778,0.03490204,0.02019383,0.030689245,0.038671743,0.032368146,0.033751115,0.024846546,0.050574884,0.03175146,0.028926559,0.059749432,0.026694842,0.048207436,0.021863246,0.031013114,0.073095016,0.043295998,0.020432694,0.039654575,0.03417789,0.02727366,0.055068757,0.029207617,0.02545579,0.027957674,0.02466828,0.028964808,0.014499025,0.08948757,0.03300021,0.029503208,0.029618468,0.021433981,0.03317947,0.019824238,0.028546598,0.038959075,0.018757867,0.039350364,0.031325866,0.019979086,0.026739847,0.03326599,0.024391532,0.02609969,0.023571048,0.044433437,0.031338394,0.02062709,0.07546575,0.017878214,0.023082068,0.067377254,0.021404887,0.024776326,0.01931591,0.023565097,0.04420448,0.025457198,0.022785855,0.044237487,0.017845266,0.031172065,0.04113309,0.024849627,0.023480207,0.062474154,0.03431785,0.02534711,0.03291163,0.05202569,0.031516988,0.028414456,0.034824234,0.07181184,0.022738855,0.02489633,0.03481853,0.071301796,0.022048693,0.03334942,0.028957602,0.030522918,0.019290274,0.019244585,0.018155154
432.8927,0.045297742,0.030435385,0.07097611,0.06966665,0.020875853,0.0193737,0.03821843,0.071144685,0.080412604,0.02239935,0.03831854,0.043061763,0.05227451,0.024295287,0.018779391,0.023752468,0.028674325,0.027619885,0.022979407,0.023408016,0.07516368,0.016774278,0.0437038,0.02761661,0.0688874,0.01977024,0.022561964,0.033349622,0.05434304,0.058258966,0.020748526,0.03287029,0.018293653,0.019486304,0.062144715,0.02049513,0.052170962,0.052073292,0.030437846,0.03435919,0.037771765,0.073626935,0.021571787,0.031762224,0.066442676,0.02304232,0.048998453,0.07019211,0.040700138,0.02465937,0.02733317,0.046753004,0.029339496,0.0744324,0.04968046,0.029112285,0.02486702,0.021996843,0.069428205,0.07070142,0.02245683,0.03532612,0.065748945,0.029262936,0.019159468,0.021073462,0.017081419,0.016824704,0.031621914,0.02584795,0.06714857,0.020463344,0.028778361,0.040973734,0.039437942,0.025839644,0.024423983,0.033387594,0.033916496,0.045976236,0.033435043,0.052231614,0.04813739,0.067409374,0.020304037,0.03050865,0.038038794,0.025845427,0.020410305,0.034051083,0.030368067,0.026523298,0.048034087,0.026894799,0.044496752,0.055276774,0.023695879,0.040264755,0.029731577,0.058242645,0.033337988,0.06292362,0.0476971,0.07525352,0.06473193,0.053849794,0.032510176,0.057668418,0.031566076,0.036500935,0.021446805,0.032153893,0.04085854,0.03409145,0.035617948,0.026273383,0.05225268,0.033365887,0.030620787,0.061118126,0.02821172,0.051206384,0.023033144,0.032631487,0.07522791,0.04592312,0.021574728,0.041689236,0.036097717,0.028842159,0.056716748,0.030568128,0.026780304,0.02929768,0.026025405,0.030494018,0.015395347,0.091119304,0.034641366,0.03112339,0.03127426,0.022502664,0.03490005,0.021002121,0.030041713,0.041128844,0.01983195,0.041561868,0.033236235,0.021123802,0.027954338,0.03459621,0.025835231,0.027523417,0.024949908,0.046791837,0.03311784,0.02174105,0.07847156,0.018958038,0.024262128,0.06954117,0.02249921,0.026177665,0.020395359,0.024729025,0.047236085,0.026753187,0.024039801,0.046530124,0.018861707,0.03284168,0.043150354,0.026268229,0.024707802,0.06283849,0.035944097,0.026535891,0.034442578,0.054488115,0.03284789,0.029791243,0.036745183,0.07410253,0.02386655,0.026228888,0.03684152,0.073856786,0.023290867,0.03516276,0.030357623,0.03182381,0.020242019,0.020181503,0.01915577
440.31726,0.047648486,0.03217659,0.07546346,0.07229205,0.021915557,0.020432437,0.040064897,0.07549759,0.0856916,0.023638051,0.040283073,0.044995077,0.05478638,0.025555246,0.019705527,0.024965392,0.029908938,0.028940123,0.024085172,0.02456651,0.08050349,0.017599657,0.045805633,0.028961746,0.07379673,0.020689823,0.023647264,0.034800425,0.05737385,0.061489362,0.021688221,0.03454847,0.019177796,0.020410726,0.06577418,0.021487618,0.053231083,0.054569498,0.031763397,0.035865806,0.039757274,0.07600893,0.02240705,0.033196103,0.070489,0.024174284,0.05104231,0.07408282,0.042587012,0.025747586,0.028542805,0.048937727,0.030876558,0.076805204,0.05027866,0.030758293,0.025974983,0.02313567,0.07374744,0.07361807,0.02360313,0.036872488,0.067220815,0.03057947,0.020019513,0.022107175,0.017910305,0.017630206,0.032985117,0.026920049,0.07124091,0.021406796,0.029904662,0.04291822,0.04128909,0.027044343,0.025642607,0.034733992,0.03533267,0.047915153,0.035166968,0.05457026,0.04919757,0.07156965,0.021326896,0.031999014,0.039959785,0.027080407,0.021394711,0.03544283,0.031890098,0.027820252,0.05058104,0.028251806,0.046517115,0.055821653,0.024920901,0.04202232,0.03108264,0.059725128,0.035030358,0.06494022,0.0497007,0.07904225,0.0666074,0.05569528,0.03396453,0.05954864,0.03318443,0.037870422,0.022587607,0.033421353,0.042752195,0.035592075,0.037235934,0.027561413,0.054522727,0.034804985,0.032116372,0.06355047,0.029564781,0.053849358,0.024057347,0.03405874,0.076712765,0.048243973,0.022578487,0.043496545,0.037785035,0.030236281,0.058739956,0.031745143,0.027920173,0.030466443,0.02723147,0.03184165,0.016176542,0.093744956,0.03604832,0.032554403,0.032708548,0.02343525,0.036400985,0.022052761,0.03135769,0.043038,0.020785732,0.043497328,0.034907963,0.022124536,0.029007057,0.035749927,0.027141182,0.02874961,0.026175786,0.04886264,0.034681886,0.022731582,0.08230979,0.019943424,0.025310226,0.071764156,0.02345561,0.027441977,0.02133765,0.025758944,0.050052337,0.0279003,0.025170073,0.048546266,0.019742146,0.03431905,0.044916723,0.027553579,0.025799435,0.06449873,0.03733324,0.02757764,0.035783093,0.056588504,0.034008417,0.030973291,0.03843069,0.07808819,0.024856173,0.027415201,0.038687184,0.077641636,0.02440651,0.03675136,0.031575803,0.03294748,0.021057302,0.020978788,0.02002765
447.7428,0.04987506,0.0338608,0.078681886,0.07548786,0.02296441,0.02146393,0.04183641,0.079224564,0.09042308,0.02484511,0.042172574,0.04687483,0.05714309,0.026814276,0.0206487,0.026160942,0.031136679,0.030240292,0.025199445,0.025726525,0.085526414,0.018432876,0.047818355,0.030278739,0.078250565,0.021598801,0.024747215,0.03623915,0.060252056,0.06450771,0.022650046,0.03618028,0.020091143,0.021347176,0.068511665,0.022476159,0.05595404,0.056944728,0.033085007,0.037362713,0.041689195,0.07934576,0.02325399,0.03461675,0.07556529,0.025303822,0.053031508,0.07819049,0.04441491,0.026852487,0.029750695,0.051008355,0.03240338,0.08039482,0.051019553,0.032327507,0.027095798,0.02426886,0.07706979,0.07834698,0.024731442,0.038371217,0.0694183,0.031904753,0.020887231,0.023146015,0.018751705,0.018442513,0.0343091,0.027969815,0.0736659,0.02237792,0.03102752,0.044795174,0.043076742,0.02823584,0.026848968,0.036061335,0.03671777,0.049771655,0.036841735,0.056772787,0.051731735,0.0741731,0.022329696,0.033460874,0.041817166,0.028302828,0.022369156,0.03679491,0.033406127,0.029101234,0.053040385,0.029607888,0.048436638,0.059034634,0.02614809,0.04374025,0.032423105,0.060408738,0.036670554,0.06759449,0.050974976,0.08272173,0.068339266,0.05755206,0.035392098,0.06105965,0.034741037,0.039225433,0.023715166,0.03467142,0.044559475,0.03704425,0.038805313,0.028834574,0.056966323,0.036211878,0.033568393,0.06574152,0.030905057,0.05635108,0.025065836,0.035453282,0.080425575,0.050511107,0.023580452,0.04525778,0.03941121,0.031584,0.060062643,0.032913778,0.029051237,0.031625092,0.02842512,0.033154257,0.016958252,0.09607801,0.037409443,0.0339364,0.03410007,0.024370536,0.03785451,0.023103602,0.032654848,0.044861875,0.021750947,0.045352742,0.03652505,0.023140524,0.03006258,0.036885727,0.028426945,0.029936155,0.027400298,0.050824713,0.03620639,0.023722176,0.08557812,0.02093439,0.02635935,0.075346075,0.024420135,0.028670572,0.022274824,0.026809577,0.052762195,0.029031334,0.026306687,0.050494805,0.02061523,0.03577252,0.04663833,0.028837472,0.026889488,0.06588332,0.038746767,0.028609924,0.037111536,0.05859146,0.035179626,0.032146856,0.040093362,0.08104098,0.025846742,0.02860401,0.040490694,0.08220663,0.02552856,0.03828475,0.03279057,0.034079086,0.021877075,0.021785326,0.02093617
