lat,lon,Methan_june11,Methane_june26,Methane_Aug,Methane_Jan,WUE_june11,WUE_june26,WUE_Aug,WUE_Jan,,ET_june11,ET_june26,ET_Aug,ET_Jan,Nitrogen_june11,Nitrogen_june26,Nitrogen_Aug,Nitrogen_Jan,,GPP_june11,GPP_june26,GPPAug,GPP_Jan
38.83039574,-121.5520846,,1895.622254,1898.182378,1883.052163,3.460176991,3.099236641,2.638655462,5.347826087,,113,131,119,23,52.96552277,65.85427094,49.69142151,63.82587814,,391,406,314,123
38.8318667,-121.5520846,,1895.622254,1898.182378,1883.052163,2.384146341,2.388235294,1.974842767,5.590909091,,164,170,159,22,63.17859268,67.02823639,62.58885956,50.23448181,,390.9999999,406,314,123
38.83393937,-121.545819,,1894.974027,1897.768838,1883.079023,3.812,2.773809524,2.73553719,6.625,,125,126,121,16,71.78556061,48.07855225,55.61286163,59.7162056,,476.5,349.5,331,106
38.83467481,-121.5522563,,1895.622254,1898.182378,1883.052163,2.561688312,2.431677019,2.783333333,6.105263158,,154,161,120,19,61.55557251,68.32228088,59.33664322,60.06143188,,394.5,391.5000001,334,116
38.83494225,-121.5454756,,1894.974027,1897.768838,1883.079023,3.045138889,2.149659864,1.55033557,5.789473684,,144,147,149,19,75.27011871,48.35834122,58.92926788,56.71787262,,438.5,316,230.9999999,110
38.83621254,-121.5473639,,1894.974027,1897.768838,1883.079023,2.884868421,1.938650307,1.452830189,6.111111111,,152,163,159,18,75.53820801,48.93458176,59.12123489,58.53918457,,438.5,316,231.0000001,110
38.83641311,-121.5520846,,1895.622254,1898.182378,1883.052163,3.197986577,2.157407407,2.713114754,5.3,,149,162,122,20,60.21844101,69.27959442,63.58905792,60.72554016,,476.5,349.4999999,331,106
38.83661911,-121.5402431,,1894.974027,1897.768838,1883.079023,2.257142857,1.803468208,2.397260274,5.736842105,,140,173,146,19,52.51635361,73.1448822,69.66498566,69.21608734,,316,312,350,109
38.83693451,-121.5386665,,1895.813931,1899.439454,1883.105939,2.628472222,1.774011299,1.832214765,5.473684211,,144,177,149,19,52.3544693,75.44726563,74.9886322,67.34490204,,378.5,313.9999999,273,104
38.83796225,-121.6228238,,1895.0724,1902.035159,1900.234253,2.603225806,2.075,2.25698324,4,,155,220,179,15,68.43750763,79.97631836,75.69044495,61.6974144,,403.4999999,456.5,404,60
38.83916456,-121.5363776,,1895.813931,1899.439454,1883.105939,2.580985915,2.194767442,1.957627119,6.157894737,,142,172,118,19,58.64455032,63.77763367,63.92243576,66.7374115,,366.4999999,377.5,231,117
38.83943198,-121.5377509,,1895.813931,1899.439454,1883.105939,2.59929078,2.207602339,1.790697674,6.157894737,,141,171,129,19,57.39464951,64.32884216,63.2153511,60.58198929,,366.5,377.5,230.9999999,117
38.84036901,-121.6219655,,1892.767787,1898.576218,1900.234253,3.210884354,2.604545455,2.387978142,4.294117647,,147,220,183,17,64.33261108,75.40209961,75.9724884,64.92562103,,472,573.0000001,437,73
38.84143865,-121.622223,,1892.767787,1898.576218,1900.234253,3.630769231,2.690140845,2.511494253,4.294117647,,130,213,174,17,60.99777985,74.23847961,66.76794434,68.30501556,,472,573,437,73
38.84217294,-121.5378367,,1891.907641,1899.714282,1882.987915,2.275,1.956989247,1.848,7.235294118,,140,186,125,17,54.58584213,62.74043274,67.00480652,51.04781723,,318.5,363.9999999,231,123
38.84357187,-121.5275402,,1891.748386,1899.720529,1882.987915,4.852941176,5.704081633,4.894736842,7.6875,,51,49,38,16,49.9278183,46.46274185,46.59308243,44.94990158,,247.5,279.5,186,123
38.84357681,-121.5380942,,1891.907641,1899.714282,1882.987915,2.463087248,1.744382022,2.198412698,4.578947368,,149,178,126,19,52.9535675,62.53720856,65.97257233,56.34796524,,367,310.4999999,276.9999999,86.99999999
