lat,lon,Methan_june11,Methane_june26,Methane_Aug,Methane_Jan,WUE_june11,WUE_june26,WUE_Aug,WUE_Jan,,ET_june11,ET_june26,ET_Aug,ET_Jan,Nitrogen_june11,Nitrogen_june26,Nitrogen_Aug,Nitrogen_Jan,,GPP_june11,GPP_june26,GPPAug,GPP_Jan
38.8593675,-121.596559,,1893.338387,1898.363209,1899.447387,4.321428571,8.310810811,7.909090909,3.052631579,,84,37,33,19,50.9973259,61.65216446,48.61418152,54.2463913,,363,307.5,261,58
38.86050369,-121.6025672,,1887.25855,1896.466884,1900.234253,2.515151515,1.658767773,1.752688172,2.894736842,,165,211,186,19,94.02618408,67.0892868,76.23062134,54.8727951,,415,350.0000001,326,55
38.8623082,-121.5975032,,1887.340061,1896.399205,1895.427017,5.673076923,7.743243243,13.82608696,4.3125,,78,37,23,16,57.46076584,49.49566269,48.2891922,58.17837524,,442.5,286.5,318.0000001,69
38.86250869,-121.596044,,1887.340061,1896.399205,1895.427017,6.295774648,6.821428571,8.705882353,3.944444444,,71,56,34,18,49.93748856,51.18003845,48.20799637,56.19104385,,447,382,296,70.99999999
38.86284285,-121.6005931,,1887.25855,1896.466884,1900.234253,3.664473684,1.712560386,1.22459893,6.714285714,,152,207,187,14,73.55587006,57.41007996,76.87626648,60.78136444,,557,354.4999999,228.9999999,94
38.88042429,-121.6737221,,1885.799249,1885.488249,1888.525391,1.830409357,1.861363636,2.644808743,1.470588235,,171,220,183,34,68.54361725,68.48164368,81.24583435,58.14450836,,313,409.4999999,484,49.99999999
38.88286302,-121.6794298,,1885.799249,1885.488249,1888.525391,1.647368421,1.788209607,2.534031414,1.5625,,190,229,191,32,71.55510712,74.52977753,81.78696442,103.3344193,,313,409.5,484.0000001,50
38.88313027,-121.6755675,,1885.799249,1885.488249,1888.525391,1.975138122,2.037117904,2.365979381,1.53125,,181,229,194,32,72.01974487,73.79269409,83.30989838,93.63355255,,357.5000001,466.5,458.9999999,49
38.88369818,-121.6778849,,1885.799249,1885.488249,1888.525391,1.626404494,1.934210526,2.312820513,1.4375,,178,228,195,32,71.95307922,73.99100494,82.23774719,101.6862717,,289.4999999,440.9999999,451,46
38.88503441,-121.6740225,,1885.799249,1885.488249,1888.525391,1.637755102,1.895652174,2.363636364,0.641025641,,196,230,187,39,72.64637756,74.32791138,82.39134979,104.3918076,,321,436,442.0000001,25
38.88546869,-121.6808031,,1885.298003,1884.852271,1888.525391,1.761363636,1.940909091,2.598901099,1.484848485,,176,220,182,33,70.87850189,72.40006256,81.22838593,75.54992676,,309.9999999,427,473,49.00000001
38.88586955,-121.6781853,,1885.799249,1885.488249,1888.525391,1.693989071,1.881057269,2.463541667,1.53125,,183,227,192,32,72.45050049,73.32791901,81.72428131,102.1306305,,310,427.0000001,473.0000001,49
38.90969485,-121.6774047,,1879.83964,1885.687856,1888.525391,2.442307692,3.75,5,1.470588235,,104,66,62,17,55.2387886,47.53316879,51.69690704,53.24499512,,254,247.5,310,25
38.91156489,-121.680323,,1879.83964,1883.889329,1880.715797,2.822222222,5.15625,8.157894737,1.666666667,,90,48,38,15,53.42994308,48.87809372,49.25053787,52.2042923,,254,247.5,310,25.00000001
38.91203239,-121.6762031,,1879.897284,1884.5411,1880.715734,2.731182796,5.646551724,8.461538462,2.333333333,,93,58,39,18,52.3852005,46.96856308,46.78077316,52.09342194,,254,327.5,330,41.99999999
38.91543839,-121.6785205,,1879.897284,1884.5411,1880.715734,3.268817204,3.585858586,5.069767442,1.5625,,93,99,86,16,50.66331863,46.01693726,49.18802261,51.77083588,,304,355,436,25
38.91550517,-121.6800655,,1879.83964,1883.889329,1880.715797,3.538461538,3.617346939,2.677777778,2.875,,91,98,90,16,51.28755951,46.85670853,50.06756592,51.25732803,,322,354.5,241,46
38.91557196,-121.6759456,,1879.897284,1884.5411,1880.715734,2.980392157,3.736842105,4.36,1.315789474,,102,95,100,19,54.25904846,46.11090851,47.86080551,51.99829483,,304,355,436,25.00000001
38.91884522,-121.7198076,,1877.410675,1879.52474,1879.499003,0.831034483,1.795348837,2.134715026,1,,145,215,193,26,56.69085693,76.62556458,79.47878265,97.88362122,,120.5,386,412,26
38.91924589,-121.72367,,1876.857338,1878.666031,1880.053663,1.086666667,1.799065421,2.134715026,1.192307692,,150,214,193,26,54.7863121,78.24772644,78.73590088,90.2306366,,163.0000001,385.0000001,412,30.99999999
38.92051468,-121.721095,,1877.403072,1878.590584,1877.502414,0.831034483,1.787037037,2.112820513,0.896551724,,145,216,195,29,56.28506851,75.86342621,78.8374176,103.2736053,,120.5,386,412,26
38.92178345,-121.7245283,,1877.403072,1878.590584,1877.502414,1.75,1.848623853,2.209183673,1.192307692,,148,218,196,26,55.12704468,73.86672211,78.51660919,100.8147659,,259,403,432.9999999,30.99999999
38.92211733,-121.7211809,,1877.403072,1878.590584,1877.502414,1.280821918,1.910550459,2.211340206,0.483870968,,146,218,194,31,56.31306458,73.31568146,79.56209564,94.73220825,,187,416.5000001,429,15.00000001
38.9251222,-121.7102804,,1877.666595,1879.866402,1876.615363,0.568047337,2.103603604,2.063157895,0.576923077,,169,222,190,26,101.5854645,72.81018829,80.16395569,93.94972229,,95.99999995,467.0000001,392.0000001,15
38.9253893,-121.7260732,,1877.403072,1878.590584,1877.502414,0.616564417,1.547297297,2.236842105,1.090909091,,163,222,190,33,90.26092529,72.78998566,81.68429565,63.43128967,,100.5,343.4999999,425,36
38.92619057,-121.7201509,,1877.403072,1878.590584,1877.502414,0.87962963,2.006756757,2.202072539,0.787878788,,162,222,193,33,97.8180542,73.61643982,82.21842194,97.61600494,,142.5000001,445.5000001,425,26
