lat,lon,Methan_june11,Methane_june26,Methane_Aug,Methane_Jan,WUE_june11,WUE_june26,WUE_Aug,WUE_Jan,,ET_june11,ET_june26,ET_Aug,ET_Jan,Nitrogen_june11,Nitrogen_june26,Nitrogen_Aug,Nitrogen_Jan,,GPP_june11,GPP_june26,GPPAug,GPP_Jan
38.93916634,-121.59457,,1888.910759,1896.65231,1894.156006,3.680672269,2.793478261,3.393939394,5.111111111,,119,138,99,18,56.03601074,50.53043747,53.05196762,56.372612,,438,385.5,336,92
38.94050153,-121.5308837,1885.811035,1891.411125,1901.536255,1901.742846,3.775862069,2.935643564,3.569444444,4,,87,101,72,21,54.24940872,48.72284698,47.63599396,69.0891037,,328.5,296.5,257,84
38.94257103,-121.5922526,,1888.887957,1896.197518,1894.156006,4.168367347,2.883458647,3.711111111,5.176470588,,98,133,90,17,52.94601822,54.93385315,46.1113739,54.18415833,,408.5,383.5000001,334,88
38.9432386,-121.5652159,,1888.911377,1899.209566,1894.156006,4.351145038,2.246527778,2.329896907,6.263157895,,131,144,97,19,60.67427444,53.38434982,54.07086945,46.61458969,,570,323.5,226,119
38.94423994,-121.5943125,,1888.887957,1896.197518,1894.156006,4.085,2.700704225,2.879310345,4.4,,100,142,116,20,51.82339096,48.39860153,44.83356476,53.18120193,,408.5,383.5,334,88
38.9481784,-121.5986041,,1888.887957,1896.197518,1894.156006,3.684210526,2.72027972,3.516853933,4.047619048,,114,143,89,21,64.84390259,68.94015503,50.08599472,57.04214096,,420,389,313,85.00000001
38.94837866,-121.5402392,1885.811035,1890.208801,1901.536255,1899.625704,3.644067797,1.854651163,2.509803922,3.347826087,,118,172,102,23,54.07559967,58.81369019,53.35201263,60.00153351,,430,319,256,77
38.94857891,-121.5417842,1885.811035,1890.208801,1901.536255,1899.625704,4.343434343,2.184931507,2.942528736,3.08,,99,146,87,25,53.95811844,58.43966675,55.29933548,59.618927,,430,319,256,77
38.94924642,-121.5416983,1885.811035,1890.208801,1901.536255,1899.625704,4.343434343,2.044871795,3.084337349,4.529411765,,99,156,83,17,53.69835281,56.09059143,49.57492828,59.27028656,,430,319,256,77.00000001
38.95098192,-121.5275363,1885.771746,1893.104553,1900.785812,1901.742839,4.78,3.005376344,4.528301887,4,,75,93,53,21,52.5845871,46.03698349,46.78857422,65.34427643,,358.5,279.5,240,84
38.95198315,-121.5377501,1883.949674,1892.062504,1901.341708,1901.74283,3.712121212,2.242647059,3.280487805,4,,99,136,82,19,49.6583519,52.14782333,50.91485596,53.27402115,,367.5,305,269,76
38.95491676,-121.6049545,,1889.507998,1897.397266,1894.156006,2.85,2.407303371,2.483443709,2.391304348,,140,178,151,23,62.10283661,51.18305588,66.2188797,57.28513336,,399,428.5,375.0000001,55
38.95772327,-121.5330294,1883.949674,1892.062504,1901.341708,1901.74283,3.195652174,1.8,2.116504854,3.708333333,,115,150,103,24,61.98524857,51.9282074,53.99979782,59.14956665,,367.5,270,218,88.99999999
38.9602562,-121.6022938,,1890.541121,1902.730232,1897.185501,2.558394161,1.623036649,2.258503401,3.695652174,,137,191,147,23,54.38733673,54.25824738,60.16434479,53.97318268,,350.5000001,310,331.9999999,85
38.96789053,-121.5709696,,1888.499905,1899.64078,1894.156006,4.21559633,2.466666667,2.495495495,3.684210526,,109,135,111,19,55.39322662,54.26004028,51.87509155,53.78535461,,459.5,333,276.9999999,69.99999999
38.96831038,-121.6262177,,1889.516012,1894.878122,1887.528137,3.421641791,2.803921569,1.976190476,4.476190476,,134,153,126,21,59.55221558,55.24268723,55.8372879,49.28948212,,458.5,429.0000001,249,94
38.96942537,-121.5706263,,1888.499905,1899.64078,1894.156006,4.23364486,2.46350365,2.827586207,1.157894737,,107,137,87,19,54.64670563,51.32587814,50.96218491,52.99188614,,453,337.5000001,246,22
38.97051253,-121.612914,1873.594361,1892.362777,1902.060736,1896.738337,4.057291667,2.995967742,3.279069767,5.863636364,,96,124,86,22,50.21203613,49.17447662,51.28634262,59.03273392,,389.5,371.5,282,129
38.97158021,-121.6309384,1873.594414,1890.509125,1901.814932,1894.033315,3.62704918,2.345070423,2.528301887,3.947368421,,122,142,106,19,59.66156006,54.87539291,53.78370285,51.60803223,,442.5,333.0000001,268,75
38.97246864,-121.5937722,,1891.587112,1902.009032,1897.028978,4.039007092,2.072727273,2.4453125,4.888888889,,141,165,128,18,52.64160919,52.45764542,52.46881485,47.92937851,,569.5,342,313,88
38.97311498,-121.6372899,1873.594414,1890.509125,1901.814932,1894.033315,3.253676471,1.936046512,2.791666667,3.260869565,,136,172,96,23,61.47255707,60.36711884,56.38547134,52.48982239,,442.5000001,333.0000001,268,75
38.97324844,-121.5978936,,1891.587112,1902.009032,1897.028978,2.649681529,1.738095238,2.083969466,3.55,,157,168,131,20,60.49182129,56.52187347,52.15530396,51.17789078,,416.0000001,292,273,71
38.97362935,-121.5714846,1879.212627,1888.22963,1900.138487,1897.185475,3.247933884,2.119047619,1.991304348,4.647058824,,121,147,115,17,58.18593597,56.37767792,52.73067093,52.28390503,,393,311.5,229,79.00000001
38.97429663,-121.574317,1879.212627,1888.22963,1900.138487,1897.185475,3.275,2.225,2.160377358,3.95,,120,140,106,20,54.07177734,51.44744873,50.87631607,57.75126266,,393,311.5,228.9999999,79
38.97709911,-121.5731154,1879.212627,1888.22963,1900.138487,1897.185475,3.377118644,1.99270073,2.533980583,3.523809524,,118,137,103,21,57.37453079,55.12994385,51.60069656,53.26429367,,398.5,273,261,74
38.97778581,-121.6272477,1873.594365,1892.842489,1900.916143,1892.71664,3.373831776,2.352678571,2.797752809,5.588235294,,107,112,89,17,50.97393799,47.51509857,54.13957596,59.06547928,,361,263.5,249,95
38.97798598,-121.6426114,1873.59436,1889.799445,1902.203946,1895.302328,3.130573248,2.17721519,4.152380952,5.555555556,,157,158,105,18,64.41641998,59.77195358,51.24066162,50.68616104,,491.4999999,344,436,100
38.97845304,-121.6360024,1873.594414,1890.509125,1901.814932,1894.033315,3.153225806,2.5125,3.706666667,6.823529412,,124,120,75,17,58.23772812,55.43611145,47.95306015,56.76911926,,390.9999999,301.5,278,116
38.97883393,-121.5680514,1879.212594,1888.079913,1901.156646,1898.277931,3.053846154,1.943396226,2.067226891,3.476190476,,130,159,119,21,54.63164902,54.81971741,53.49752808,53.0205307,,397,308.9999999,246,73
38.9789201,-121.6394357,1873.594414,1890.509125,1901.814932,1894.033315,3.694444444,2.270676692,3.621621622,6.352941176,,126,133,74,17,59.93392563,54.36821365,49.77627182,55.46674347,,465.4999999,302,268,108
38.97898683,-121.6414098,1873.59436,1889.799445,1902.203946,1895.302328,3.473880597,2.220588235,3.11627907,6,,134,136,86,18,61.46878052,57.95337677,49.97853851,54.35874939,,465.5,302,268,108
38.97950116,-121.5713129,1879.212627,1888.22963,1900.138487,1897.185475,3.615702479,2.530075188,2.509615385,3,,121,133,104,20,56.39162064,59.20750809,55.05770874,55.02016068,,437.5,336.5,261,60
38.97952061,-121.6006402,,1891.845344,1902.33988,1896.902482,3.324,2.236,2.730769231,2.941176471,,125,125,78,17,55.00621033,50.37464142,48.0526619,54.1011734,,415.5,279.5,213,50.00000001
